id_afluencia_estacion,periodo,servicio,id_estacion,entradas,meta_entradas,perdida_pax,fuga_pct,observacion
1,2025-03,Biotren,1,15123,20123,5000,0.248471897828356,
2,2025-03,Biotren,2,11616,16616,5000,0.30091478093404,
3,2025-03,Biotren,3,10473,15473,5000,0.323143540360628,
4,2025-03,Biotren,4,8018,13018,5000,0.384083576586265,
5,2025-03,Biotren,5,12080,17080,5000,0.292740046838407,
6,2025-03,Biotren,6,309948,314948,5000,0.015875636613028,
7,2025-03,Biotren,7,7875,12875,5000,0.388349514563107,
8,2025-03,Biotren,8,13557,18557,5000,0.269440103465,
9,2025-03,Biotren,9,14462,19462,5000,0.256910903298736,
10,2025-03,Biotren,10,13424,18424,5000,0.271385149804603,
11,2025-03,Biotren,11,8141,13141,5000,0.380488547294726,
12,2025-03,Biotren,12,13098,18098,5000,0.276273621394629,
13,2025-03,Biotren,13,34722,39722,5000,0.125874830068979,
14,2025-03,Biotren,14,31184,36184,5000,0.138182622153438,
15,2025-03,Biotren,15,11857,16857,5000,0.296612683158332,
16,2025-03,Biotren,16,59667,64667,5000,0.077319189076345,
17,2025-03,Biotren,17,26496,31496,5000,0.158750317500635,
18,2025-03,Biotren,18,75954,80954,5000,0.061763470612941,
19,2025-03,Biotren,19,52861,57861,5000,0.08641399215361,
20,2025-03,Biotren,20,30669,35669,5000,0.140177745381143,
21,2025-03,Biotren,21,71662,76662,5000,0.065221361300253,
22,2025-03,Biotren,22,42092,47092,5000,0.106175146521702,
23,2025-03,Biotren,23,69854,74854,5000,0.066796697571272,
24,2025-03,Biotren,24,62840,67840,5000,0.073702830188679,
25,2025-03,Biotren,25,90588,95588,5000,0.052307821065406,
26,2026-03,Biotren,1,17085,22085,5000,0.226398007697532,
27,2026-03,Biotren,2,12533,17533,5000,0.285176524268522,
28,2026-03,Biotren,3,12164,17164,5000,0.291307387555348,
29,2026-03,Biotren,4,9206,14206,5000,0.35196395889061,
30,2026-03,Biotren,5,13405,18405,5000,0.271665308340125,
31,2026-03,Biotren,6,341204,346204,5000,0.014442351908124,
32,2026-03,Biotren,7,7800,12800,5000,0.390625,
33,2026-03,Biotren,8,13836,18836,5000,0.265449139944787,
34,2026-03,Biotren,9,14671,19671,5000,0.254181282090387,
35,2026-03,Biotren,10,13085,18085,5000,0.276472214542438,
36,2026-03,Biotren,11,8379,13379,5000,0.37372000896928,
37,2026-03,Biotren,12,12891,17891,5000,0.279470124643676,
38,2026-03,Biotren,13,33304,38304,5000,0.130534670008354,
39,2026-03,Biotren,14,32092,37092,5000,0.134799956864014,
40,2026-03,Biotren,15,13349,18349,5000,0.272494413864516,
41,2026-03,Biotren,16,60848,65848,5000,0.075932450492042,
42,2026-03,Biotren,17,27646,32646,5000,0.153158120443546,
43,2026-03,Biotren,18,71940,76940,5000,0.064985703145308,
44,2026-03,Biotren,19,45535,50535,5000,0.098941327792619,
45,2026-03,Biotren,20,30861,35861,5000,0.139427232927135,
46,2026-03,Biotren,21,75176,80176,5000,0.062362801835961,
47,2026-03,Biotren,22,45731,50731,5000,0.098559066448523,
48,2026-03,Biotren,23,71258,76258,5000,0.065566891342548,
49,2026-03,Biotren,24,63548,68548,5000,0.072941588376029,
50,2026-03,Biotren,25,87217,92217,5000,0.054219937755512,
51,2026-03,Tren Araucanía,48,6183,6683,500,0.074816699087236,
52,2026-03,Tren Araucanía,49,1305,1805,500,0.277008310249307,
53,2026-03,Tren Araucanía,50,4785,5285,500,0.094607379375591,
54,2026-03,Tren Araucanía,51,526,1026,500,0.487329434697856,
55,2026-03,Tren Araucanía,52,5041,5541,500,0.090236419418878,
56,2026-03,Tren Araucanía,53,3043,3543,500,0.141123341800734,
57,2026-03,Tren Araucanía,54,1447,1947,500,0.256805341551104,
58,2026-03,Tren Araucanía,55,784,1284,500,0.389408099688474,
59,2026-03,Tren Araucanía,56,26637,27137,500,0.018425028558794,
60,2026-03,Tren Araucanía,57,1560,2060,500,0.242718446601942,
61,2026-03,Tren Araucanía,58,1112,1612,500,0.310173697270471,
62,2026-03,Tren Araucanía,59,1222,1722,500,0.290360046457607,
63,2026-03,Tren Araucanía,60,2476,2976,500,0.168010752688172,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
102,,,,,,,,
103,,,,,,,,
104,,,,,,,,
105,,,,,,,,
106,,,,,,,,
107,,,,,,,,
108,,,,,,,,
109,,,,,,,,
110,,,,,,,,
111,,,,,,,,
112,,,,,,,,
113,,,,,,,,
114,,,,,,,,
115,,,,,,,,
116,,,,,,,,
117,,,,,,,,
118,,,,,,,,
119,,,,,,,,
120,,,,,,,,
121,,,,,,,,
122,,,,,,,,
123,,,,,,,,
124,,,,,,,,
125,,,,,,,,
126,,,,,,,,
127,,,,,,,,
128,,,,,,,,
129,,,,,,,,
130,,,,,,,,
131,,,,,,,,
132,,,,,,,,
133,,,,,,,,
134,,,,,,,,
135,,,,,,,,
136,,,,,,,,
137,,,,,,,,
138,,,,,,,,
139,,,,,,,,
140,,,,,,,,
141,,,,,,,,
142,,,,,,,,
143,,,,,,,,
144,,,,,,,,
145,,,,,,,,
146,,,,,,,,
147,,,,,,,,
148,,,,,,,,
149,,,,,,,,
150,,,,,,,,
151,,,,,,,,
152,,,,,,,,
153,,,,,,,,
154,,,,,,,,
155,,,,,,,,
156,,,,,,,,
157,,,,,,,,
158,,,,,,,,
159,,,,,,,,
160,,,,,,,,
161,,,,,,,,
162,,,,,,,,
163,,,,,,,,
164,,,,,,,,
165,,,,,,,,
166,,,,,,,,
167,,,,,,,,
168,,,,,,,,
169,,,,,,,,
170,,,,,,,,
171,,,,,,,,
172,,,,,,,,
173,,,,,,,,
174,,,,,,,,
175,,,,,,,,
176,,,,,,,,
177,,,,,,,,
178,,,,,,,,
179,,,,,,,,
180,,,,,,,,
181,,,,,,,,
182,,,,,,,,
183,,,,,,,,
184,,,,,,,,
185,,,,,,,,
186,,,,,,,,
187,,,,,,,,
188,,,,,,,,
189,,,,,,,,
190,,,,,,,,
191,,,,,,,,
192,,,,,,,,
193,,,,,,,,
194,,,,,,,,
195,,,,,,,,
196,,,,,,,,
197,,,,,,,,
198,,,,,,,,
199,,,,,,,,
200,,,,,,,,
201,,,,,,,,
202,,,,,,,,
203,,,,,,,,
204,,,,,,,,
205,,,,,,,,
206,,,,,,,,
207,,,,,,,,
208,,,,,,,,
209,,,,,,,,
210,,,,,,,,
211,,,,,,,,
212,,,,,,,,
213,,,,,,,,
214,,,,,,,,
215,,,,,,,,
216,,,,,,,,
217,,,,,,,,
218,,,,,,,,
219,,,,,,,,
220,,,,,,,,
221,,,,,,,,
222,,,,,,,,
223,,,,,,,,
224,,,,,,,,
225,,,,,,,,
226,,,,,,,,
227,,,,,,,,
228,,,,,,,,
229,,,,,,,,
230,,,,,,,,
231,,,,,,,,
232,,,,,,,,
233,,,,,,,,
234,,,,,,,,
235,,,,,,,,
236,,,,,,,,
237,,,,,,,,
238,,,,,,,,
239,,,,,,,,
240,,,,,,,,
241,,,,,,,,
242,,,,,,,,
243,,,,,,,,
244,,,,,,,,
245,,,,,,,,
246,,,,,,,,
247,,,,,,,,
248,,,,,,,,
249,,,,,,,,
250,,,,,,,,
251,,,,,,,,
252,,,,,,,,
253,,,,,,,,
254,,,,,,,,
255,,,,,,,,
256,,,,,,,,
257,,,,,,,,
258,,,,,,,,
259,,,,,,,,
260,,,,,,,,
261,,,,,,,,
262,,,,,,,,
263,,,,,,,,
264,,,,,,,,
265,,,,,,,,
266,,,,,,,,
267,,,,,,,,
268,,,,,,,,
269,,,,,,,,
270,,,,,,,,
271,,,,,,,,
272,,,,,,,,
273,,,,,,,,
274,,,,,,,,
275,,,,,,,,
276,,,,,,,,
277,,,,,,,,
278,,,,,,,,
279,,,,,,,,
280,,,,,,,,
281,,,,,,,,
282,,,,,,,,
283,,,,,,,,
284,,,,,,,,
285,,,,,,,,
286,,,,,,,,
287,,,,,,,,
288,,,,,,,,
289,,,,,,,,
290,,,,,,,,
291,,,,,,,,
292,,,,,,,,
293,,,,,,,,
294,,,,,,,,
295,,,,,,,,
296,,,,,,,,
297,,,,,,,,
298,,,,,,,,
299,,,,,,,,
300,,,,,,,,
