id_estacion,estacion,servicio,comuna,region,latitud,longitud,orden_trazado,activa,observacion
1,Hualqui,Biotren,Hualqui,Bío Bío,-36.9805523,-72.9411329,1,1,
2,La Leonera,Biotren,Chiguayante,Bío Bío,-36.9512405,-73.0131723,2,1,
3,Manquimávida,Biotren,Chiguayante,Bío Bío,-36.938615,-73.0113387,3,1,
4,Pedro Medina,Biotren,Chiguayante,Bío Bío,-36.9257434,-73.0214627,4,1,
5,Chiguayante,Biotren,Chiguayante,Bío Bío,-36.9153739,-73.0288743,5,1,
6,Concepción,Biotren,Concepción,Bío Bío,-36.8301683,-73.0610675,6,1,
7,Lzo. Arenas,Biotren,Concepción,Bío Bío,-36.8083205,-73.070926694444,7,1,
8,UTF Santa Maria,Biotren,Hualpen,Bío Bío,-36.783861,-73.085634,8,1,
9,Los Cóndores,Biotren,Talcahuano,Bío Bío,-36.7566735,-73.0916766,9,1,
10,Higueras,Biotren,Talcahuano,Bío Bío,-36.7394967,-73.1026823,10,1,
11,Arenal,Biotren,Talcahuano,Bío Bío,-36.725593,-73.1165514,11,1,
12,Mercado,Biotren,Talcahuano,Bío Bío,-36.7119231,-73.1155885,12,1,
13,Juan Pablo II,Biotren,San Pedro de la Paz,Bío Bío,-36.8384362,-73.0978214,13,1,
14,Diagonal Bio Bio,Biotren,San Pedro de la Paz,Bío Bío,-36.8373882,-73.1180448,14,1,
15,Alborada,Biotren,San Pedro de la Paz,Bío Bío,-36.8461506,-73.1307979,15,1,
16,Costa Mar,Biotren,San Pedro de la Paz,Bío Bío,-36.854652777778,-73.132875,16,1,
17,El Parque,Biotren,San Pedro de la Paz,Bío Bío,-36.8677945,-73.1361,17,1,
18,Lomas Coloradas,Biotren,San Pedro de la Paz,Bío Bío,-36.8830348,-73.139699,18,1,
19,Cdal. Raul Silva Henriquez,Biotren,San Pedro de la Paz,Bío Bío,-36.8982283,-73.143417,19,1,
20,Hito Galvarino,Biotren,Coronel,Bío Bío,-36.953888888889,-73.156694444444,20,1,
21,Los Canelos,Biotren,Coronel,Bío Bío,-36.9801643,-73.1628208,21,1,
22,Huinca,Biotren,Coronel,Bío Bío,-36.9880335,-73.1631518,22,1,
23,Cristo Redentor,Biotren,Coronel,Bío Bío,-36.998407,-73.1627959,23,1,
24,Laguna Quiñenco,Biotren,Coronel,Bío Bío,-37.0124995,-73.1581573,24,1,
25,Coronel,Biotren,Coronel,Bío Bío,-37.0246031,-73.1508523,25,1,
26,Mercado,Laja Talcahuano,Talcahuano,Bío Bío,-36.7119231,-73.1155885,1,1,
27,Arenal,Laja Talcahuano,Talcahuano,Bío Bío,-36.725593,-73.1165514,2,1,
28,Higueras,Laja Talcahuano,Talcahuano,Bío Bío,-36.7394967,-73.1026823,3,1,
29,Los Cóndores,Laja Talcahuano,Talcahuano,Bío Bío,-36.7566735,-73.0916766,4,1,
30,UT Federico Santa Maria,Laja Talcahuano,Hualpen,Bío Bío,-36.783861,-73.085634,5,1,
31,Lorenzo Arenas,Laja Talcahuano,Concepción,Bío Bío,-36.8083205,-73.070926694444,6,1,
32,Concepción,Laja Talcahuano,Concepción,Bío Bío,-36.8301683,-73.0610675,7,1,
33,Chiguayante,Laja Talcahuano,Chiguayante,Bío Bío,-36.9153739,-73.0288743,8,1,
34,Pedro Medina,Laja Talcahuano,Chiguayante,Bío Bío,-36.9257434,-73.0214627,9,1,
35,Manquimávida,Laja Talcahuano,Chiguayante,Bío Bío,-36.938615,-73.0113387,10,1,
36,La Leonera,Laja Talcahuano,Chiguayante,Bío Bío,-36.9512405,-73.0131723,11,1,
37,Hualqui,Laja Talcahuano,Hualqui,Bío Bío,-36.9805523,-72.9411329,12,1,
38,Quilacoya,Laja Talcahuano,Hualqui,Bío Bío,-37.054587611111,-72.963312388889,13,1,
39,San Miguel,Laja Talcahuano,Hualqui,Bío Bío,-37.078660044205,-72.958144925099,14,1,
40,Unihue,Laja Talcahuano,Hualqui,Bío Bío,-37.1190764,-72.9426845,15,1,
41,Valle Chanco,Laja Talcahuano,Hualqui,Bío Bío,-37.1373059,-72.933679,16,1,
42,Los Acacios,Laja Talcahuano,Talcamávida,Bío Bío,-37.1559372,-72.9168515,17,1,
43,Talcamávida,Laja Talcahuano,Talcamávida,Bío Bío,-37.1649658,-72.9067981,18,1,
44,Gomero,Laja Talcahuano,Hualqui,Bío Bío,-37.1964188,-72.8352467,19,1,
45,Buenuraqui,Laja Talcahuano,San Rosendo,Bío Bío,-37.2030055,-72.7700609,20,1,
46,San Rosendo,Laja Talcahuano,San Rosendo,Bío Bío,-37.2639239,-72.7275763,21,1,
47,Laja,Laja Talcahuano,Laja,Bío Bío,-37.2819687,-72.7167759,22,1,
48,Victoria,Tren Araucanía,Victoria,Araucanía,-38.2370839,-72.332769,1,1,
49,Púa,Tren Araucanía,Victoria,Araucanía,-38.335972222222,-72.374777777778,2,1,
50,Perquenco,Tren Araucanía,Perquenco,Araucanía,-38.420224,-72.375177,3,1,
51,Quillén,Tren Araucanía,Perquenco,Araucanía,-38.465611111111,-72.386861111111,4,1,
52,Lautaro,Tren Araucanía,Lautaro,Araucanía,-38.525333333333,-72.432111111111,5,1,
53,Lautaro Centro,Tren Araucanía,Lautaro,Araucanía,-38.533638888889,-72.436861111111,6,1,
54,Pillanlelbun,Tren Araucanía,Lautaro,Araucanía,-38.635555555556,-72.453805555556,7,1,
55,Cajón,Tren Araucanía,Vilcún,Araucanía,-38.675791,-72.50432,8,1,
56,Temuco,Tren Araucanía,Temuco,Araucanía,-38.7369098,-72.5787896,9,1,
57,Padre Las Casas,Tren Araucanía,Padre Las Casas,Araucanía,-38.762490147234,-72.604845165177,10,1,
58,Quepe,Tren Araucanía,Freire,Araucanía,-38.868162,-72.616353,11,1,
59,Freire,Tren Araucanía,Freire,Araucanía,-38.9481559,-72.6282035,12,1,
60,Pitrufquén,Tren Araucanía,Pitrufquén,Araucanía,-38.984352,-72.642339,13,1,
61,La Paloma,Llanquihue Puerto Montt,Puerto Montt,Los Lagos,-41.4584769,-72.9176003,1,1,
62,Alerce,Llanquihue Puerto Montt,Puerto Varas,Los Lagos,-41.399333,-72.919334,2,1,
