Orden,Servicio,Linea,Sentido,Tipo_dia_ref
1,20300,L1,TH-HQ,Lunes a Viernes
2,20841,L1,TH-HQ,Lunes a Viernes
3,20362,L1,TH-HQ,Lunes a Viernes
4,20304,L1,TH-HQ,Lunes a Viernes
5,20364,L1,TH-HQ,Lunes a Viernes
6,20865,L1,TH-HQ,Lunes a Viernes
7,20390,L1,TH-HQ,Lunes a Viernes
8,20308,L1,TH-HQ,Lunes a Viernes
9,20374,L1,TH-HQ,Lunes a Viernes
10,20374,L1,TH-HQ,Lunes a Viernes
11,20310,L1,TH-HQ,Lunes a Viernes
12,20312,L1,TH-HQ,Lunes a Viernes
13,20843,L1,TH-HQ,Lunes a Viernes
14,20316,L1,TH-HQ,Lunes a Viernes
15,20318,L1,TH-HQ,Lunes a Viernes
16,20320,L1,TH-HQ,Lunes a Viernes
17,20376,L1,TH-HQ,Lunes a Viernes
18,20322,L1,TH-HQ,Lunes a Viernes
19,20324,L1,TH-HQ,Lunes a Viernes
20,20326,L1,TH-HQ,Lunes a Viernes
21,20328,L1,TH-HQ,Lunes a Viernes
22,20330,L1,TH-HQ,Lunes a Viernes
23,20332,L1,TH-HQ,Lunes a Viernes
24,20855,L1,TH-HQ,Lunes a Viernes
25,20301,L1,HQ-TH,Lunes a Viernes
26,20351,L1,HQ-TH,Lunes a Viernes
27,20397,L1,HQ-TH,Lunes a Viernes
28,20305,L1,HQ-TH,Lunes a Viernes
29,20353,L1,HQ-TH,Lunes a Viernes
30,20842,L1,HQ-TH,Lunes a Viernes
31,20371,L1,HQ-TH,Lunes a Viernes
32,20309,L1,HQ-TH,Lunes a Viernes
33,20373,L1,HQ-TH,Lunes a Viernes
34,20311,L1,HQ-TH,Lunes a Viernes
35,20377,L1,HQ-TH,Lunes a Viernes
36,20313,L1,HQ-TH,Lunes a Viernes
37,20315,L1,HQ-TH,Lunes a Viernes
38,20844,L1,HQ-TH,Lunes a Viernes
39,20856,L1,HQ-TH,Lunes a Viernes
40,20321,L1,HQ-TH,Lunes a Viernes
41,20323,L1,HQ-TH,Lunes a Viernes
42,20325,L1,HQ-TH,Lunes a Viernes
43,20379,L1,HQ-TH,Lunes a Viernes
