id_servicio_pdf,pagina_pdf,sector,tipo_dia,sentido,servicio,estacion_origen,hora_salida_origen,hora_llegada_orig,estacion_terminal,hora_llegada_term,hora_salida_term,n_estaciones_hora
P02|Concepción a Coronel|20281,2,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20281,CONCEPCIÓN,5:30,6:14,CORONEL,6:14,6:09,7
P02|Concepción a Coronel|20283,2,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20283,LOMAS COLORADAS,6:15,6:40,CORONEL,6:40,6:35,4
P02|Concepción a Coronel|20001,2,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20001,CONCEPCIÓN,6:45,6:50:40,CORONEL,7:27,7:24:30,14
P02|Concepción a Coronel|20003,2,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20003,CONCEPCIÓN,6:57,7:02:40,CORONEL,7:39,7:36:30,14
P02|Concepción a Coronel|20285,2,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20285,Desvío Lagunillas (HDLC),7:11,7:16,CORONEL,7:16,7:11,2
P02|Concepción a Coronel|20005,2,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20005,CONCEPCIÓN,7:13,7:18:40,CORONEL,7:55,7:52:30,14
P02|Concepción a Coronel|20009,2,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20009,CONCEPCIÓN,7:25,7:30:40,CORONEL,8:07,8:04:30,14
P02|Concepción a Coronel|20011,2,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20011,CONCEPCIÓN,7:42,7:47:40,CORONEL,8:24,8:21:30,14
P02|Concepción a Coronel|20015,2,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20015,CONCEPCIÓN,7:54,7:59:40,CORONEL,8:36,8:33:30,14
P02|Concepción a Coronel|20017,2,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20017,CONCEPCIÓN,8:17,8:22:40,CORONEL,8:59,8:56:30,14
P02|Concepción a Coronel|20023,2,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20023,CONCEPCIÓN,8:28,8:33:40,CORONEL,9:10,9:07:30,14
P02|Concepción a Coronel|20025,2,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20025,CONCEPCIÓN,8:39,8:44:40,CORONEL,9:21,9:18:30,14
