viaje_idx,tarjeta_id,origen,destino,servicio_final,linea,version_que_gana,t_entrada_viaje,t_salida_viaje,direccion,dia_proceso,etiqueta,servicio_tramo_v1,servicio_tramo_v2
0,142142,Concepcion,Hito Galvarino,20063,L2,V1,2025-10-14 17:54:19,2025-10-14 18:27:41,CC→CW,2025-10-14,,20063,20063
1,142142,Hito Galvarino,Concepcion,20088,L2,V1,2025-10-14 20:21:13,2025-10-14 21:02:41,CW→CC,2025-10-14,,20088,20088
2,172820,Concepcion,Coronel,20017,L2,V1,2025-10-14 08:20:20,2025-10-14 09:29:53,CC→CW,2025-10-14,,20017,20011
3,172820,Coronel,Concepcion,20046,L2,V1,2025-10-14 14:10:33,2025-10-14 15:42:31,CW→CC,2025-10-14,combo_relajado_pase1,20046,
4,174637,UTF Santa Maria,Lzo. Arenas,20304,L1,V1,2025-10-14 07:44:11,2025-10-14 07:50:45,TH→HQ,2025-10-14,,20304,20304
5,175972,Huinca,Concepcion,20034,L2,V1,2025-10-14 10:33:13,2025-10-14 11:17:25,CW→CC,2025-10-14,,20034,20034
6,175972,Concepcion,Huinca,20055,L2,V1,2025-10-14 16:00:30,2025-10-14 18:05:32,CC→CW,2025-10-14,,20055,20055
7,177208,Concepcion,Coronel,20069,L2,V1,2025-10-14 18:33:31,2025-10-14 19:28:52,CC→CW,2025-10-14,,20069,20069
8,177512,Los Condores,Concepcion,20304,L1,V1,2025-10-14 07:39:34,2025-10-14 08:07:47,TH→HQ,2025-10-14,,20304,20304
9,177715,Lomas Coloradas,Concepcion,20024,L2,V1,2025-10-14 09:25:38,2025-10-14 09:55:31,CW→CC,2025-10-14,,20024,20024
10,177715,Concepcion,Lomas Coloradas,20075,L2,V1,2025-10-14 19:14:38,2025-10-14 19:44:15,CC→CW,2025-10-14,,20075,20075
11,177864,Concepcion,Coronel,20075,L2,V1,2025-10-14 18:53:19,2025-10-14 20:04:58,CC→CW,2025-10-14,,20075,20073
12,177883,Concepcion,Cdal. Raul Silva Henriquez,20051,L2,V1,2025-10-14 15:28:41,2025-10-14 16:01:30,CC→CW,2025-10-14,,20051,20051
13,177968,Manquimavida,Concepcion,20371,L1,V2,2025-10-14 07:21:13,2025-10-14 07:45:27,,2025-10-14,sin_combo_factible_en_hub|sin_s1_factible_retro,,20371
14,177968,Concepcion,Manquimavida,20310,L1,V1,2025-10-14 09:20:04,2025-10-14 09:44:42,TH→HQ,2025-10-14,,20310,
15,177971,Manquimavida,Lzo. Arenas,20311,L1,V1,2025-10-14 09:23:21,2025-10-14 09:56:59,HQ→TH,2025-10-14,,20311,20311
