fecha,linea,direccion,servicio,estacion,t_arr_est,t_dep_est,capacidad_tren,A_llegadas_anden,D_bajadas,Demanda_anden,Capacidad_disponible,B_embarque,R_quedados,Q_out_cola,L_in_abordo,L_out_abordo
2026-02-26,L1,HQ→TH,20301.0,Hualqui,,2026-02-26 06:12:30,780.0,22,0,22.0,780.0,22.0,0.0,0.0,0.0,22.0
2026-02-26,L1,HQ→TH,20301.0,Concepcion,2026-02-26 06:50:00,2026-02-26 06:17:00,780.0,120,39,120.0,780.0,120.0,0.0,0.0,22.0,103.0
2026-02-26,L1,HQ→TH,20301.0,Manquimavida,,2026-02-26 06:27:00,780.0,16,0,16.0,677.0,16.0,0.0,0.0,103.0,119.0
2026-02-26,L1,HQ→TH,20301.0,La Leonera,,2026-02-26 06:27:30,780.0,26,0,26.0,661.0,26.0,0.0,0.0,119.0,145.0
2026-02-26,L1,HQ→TH,20301.0,Pedro Medina,,2026-02-26 06:34:00,780.0,11,0,11.0,635.0,11.0,0.0,0.0,145.0,156.0
2026-02-26,L1,HQ→TH,20301.0,Chiguayante,2026-02-26 06:40:00,2026-02-26 06:35:00,780.0,5,1,5.0,625.0,5.0,0.0,0.0,156.0,160.0
2026-02-26,L1,HQ→TH,20301.0,Lzo. Arenas,2026-02-26 07:06:00,2026-02-26 07:00:00,780.0,6,21,6.0,641.0,6.0,0.0,0.0,160.0,145.0
2026-02-26,L1,HQ→TH,20301.0,UTF Santa Maria,2026-02-26 07:10:30,2026-02-26 07:04:00,780.0,10,14,10.0,649.0,10.0,0.0,0.0,145.0,141.0
2026-02-26,L1,HQ→TH,20301.0,Los Condores,2026-02-26 07:14:00,2026-02-26 07:11:00,780.0,1,15,1.0,654.0,1.0,0.0,0.0,141.0,127.0
2026-02-26,L1,HQ→TH,20301.0,Higueras,2026-02-26 07:18:00,2026-02-26 07:14:00,780.0,1,52,1.0,705.0,1.0,0.0,0.0,127.0,76.0
2026-02-26,L1,HQ→TH,20301.0,El Arenal,2026-02-26 07:22:00,2026-02-26 07:19:00,780.0,1,27,1.0,731.0,1.0,0.0,0.0,76.0,50.0
2026-02-26,L1,HQ→TH,20301.0,Mercado,2026-02-26 07:26:00,,780.0,0,50,0.0,780.0,0.0,0.0,0.0,50.0,0.0
2026-02-26,L1,HQ→TH,20305.0,Hualqui,,2026-02-26 07:24:00,780.0,48,0,48.0,780.0,48.0,0.0,0.0,0.0,48.0
2026-02-26,L1,HQ→TH,20305.0,Concepcion,2026-02-26 08:03:00,2026-02-26 07:32:00,780.0,112,90,112.0,780.0,112.0,0.0,0.0,48.0,70.0
2026-02-26,L1,HQ→TH,20305.0,La Leonera,2026-02-26 07:45:00,2026-02-26 07:38:00,780.0,34,3,34.0,713.0,34.0,0.0,0.0,70.0,101.0
2026-02-26,L1,HQ→TH,20305.0,Pedro Medina,2026-02-26 07:50:30,2026-02-26 07:39:00,780.0,21,2,21.0,681.0,21.0,0.0,0.0,101.0,120.0
2026-02-26,L1,HQ→TH,20305.0,Manquimavida,,2026-02-26 07:40:00,780.0,23,0,23.0,660.0,23.0,0.0,0.0,120.0,143.0
2026-02-26,L1,HQ→TH,20305.0,Chiguayante,2026-02-26 07:53:30,2026-02-26 07:45:00,780.0,20,2,20.0,639.0,20.0,0.0,0.0,143.0,161.0
2026-02-26,L1,HQ→TH,20305.0,Lzo. Arenas,2026-02-26 08:08:00,2026-02-26 08:02:30,780.0,2,31,2.0,650.0,2.0,0.0,0.0,161.0,132.0
