FECHA_TRANSACCION,NUMERO_TARJETA,MONTO_TRANSACCION,tipo_pasajero_norm
2026-05-04T06:06:41,53048229,230,Adulto Mayor
2026-05-04T06:10:01,2000192373,530,Monedero
2026-05-04T06:10:06,54444982,530,Monedero
2026-05-04T06:10:08,2000023899,530,Monedero
2026-05-04T06:10:14,2000196733,460,Monedero
2026-05-04T06:10:14,271892,460,Monedero
2026-05-04T06:10:24,2000102924,530,Monedero
2026-05-04T06:10:30,54230241,440,Monedero
2026-05-04T06:17:36,53049895,320,Adulto Mayor
2026-05-04T06:19:53,56074511,0,Discapacitado
2026-05-04T06:19:57,54605412,650,Monedero
2026-05-04T06:19:58,302252804,200,Estudiante
2026-05-04T06:20:05,2000228828,630,Monedero
2026-05-04T06:20:05,2106000389,0,Discapacitado
2026-05-04T06:20:07,54515321,650,Monedero
2026-05-04T06:20:09,54518045,650,Monedero
2026-05-04T06:20:10,2000161069,630,Monedero
2026-05-04T06:20:13,56075112,320,Adulto Mayor
2026-05-04T06:20:17,54229031,610,Monedero
2026-05-04T06:20:25,2040146144,610,Monedero
2026-05-04T06:20:39,1618497,630,Monedero
2026-05-04T06:20:41,2000192541,630,Monedero
2026-05-04T06:20:45,54468205,630,Monedero
2026-05-04T06:22:49,2000174743,460,Monedero
2026-05-04T06:22:51,2000212404,530,Monedero
2026-05-04T06:22:53,54602564,460,Monedero
2026-05-04T06:22:56,2000049054,460,Monedero
2026-05-04T06:22:58,1278958,530,Monedero
2026-05-04T06:23:04,1544332,460,Monedero
2026-05-04T06:23:22,2000192098,460,Monedero
2026-05-04T06:23:29,56071570,330,Adulto Mayor
2026-05-04T06:23:31,58029666,440,Monedero
2026-05-04T06:23:32,2000190409,460,Monedero
2026-05-04T06:23:35,54495195,650,Monedero
2026-05-04T06:23:38,54228267,630,Monedero
2026-05-04T06:23:38,54592846,460,Monedero
2026-05-04T06:23:51,54548544,440,Monedero
2026-05-04T06:23:52,2000191727,630,Monedero
2026-05-04T06:25:42,54522560,610,Monedero
2026-05-04T06:25:45,312460891,140,Estudiante
2026-05-04T06:26:34,53046707,330,Adulto Mayor
2026-05-04T06:26:45,2000075064,650,Monedero
2026-05-04T06:26:48,2000037366,630,Monedero
2026-05-04T06:27:50,53037730,230,Adulto Mayor
2026-05-04T06:28:05,2000191037,630,Monedero
2026-05-04T06:30:41,252250181,220,Estudiante
2026-05-04T06:30:45,242284023,220,Estudiante
2026-05-04T06:30:59,1001991,440,Monedero
2026-05-04T06:31:06,2100008898,330,Adulto Mayor
2026-05-04T06:31:10,2100007005,340,Adulto Mayor
2026-05-04T06:31:21,2000143424,790,Monedero
2026-05-04T06:31:29,54469388,510,Monedero
2026-05-04T06:31:38,54253212,460,Monedero
2026-05-04T06:31:39,2000228339,650,Monedero
2026-05-04T06:31:43,2106001033,0,Discapacitado
2026-05-04T06:31:44,2106000807,0,Discapacitado
2026-05-04T06:31:44,441213,680,Monedero
2026-05-04T06:32:19,1656987,460,Monedero
2026-05-04T06:32:23,53044073,230,Adulto Mayor
2026-05-04T06:33:02,54322334,530,Monedero
2026-05-04T06:33:03,2000197544,610,Monedero
2026-05-04T06:33:04,2000084781,650,Monedero
2026-05-04T06:33:07,54541105,650,Monedero
2026-05-04T06:33:20,2000196807,650,Monedero
2026-05-04T06:33:21,2000167356,610,Monedero
2026-05-04T06:33:22,1510936,630,Monedero
2026-05-04T06:33:24,1435232,630,Monedero
2026-05-04T06:33:24,54605411,650,Monedero
2026-05-04T06:33:27,56074777,0,Discapacitado
2026-05-04T06:33:27,2000090711,610,Monedero
2026-05-04T06:33:27,2000230647,630,Monedero
2026-05-04T06:33:37,54491532,650,Monedero
2026-05-04T06:33:40,56071888,340,Adulto Mayor
2026-05-04T06:33:41,2100006866,260,Adulto Mayor
2026-05-04T06:33:41,2000054113,680,Monedero
2026-05-04T06:33:43,54271002,440,Monedero
2026-05-04T06:33:44,2103001320,340,Adulto Mayor
2026-05-04T06:33:45,56081026,310,Adulto Mayor
2026-05-04T06:33:48,1001811,790,Monedero
2026-05-04T06:33:53,54588440,680,Monedero
2026-05-04T06:33:53,2040103484,510,Monedero
2026-05-04T06:33:53,53046201,330,Adulto Mayor
2026-05-04T06:33:53,2040103483,510,Monedero
2026-05-04T06:33:56,2000199523,790,Monedero
2026-05-04T06:33:58,56082239,340,Adulto Mayor
2026-05-04T06:33:58,53046201,650,Monedero
2026-05-04T06:33:59,54516901,680,Monedero
2026-05-04T06:33:59,2000207336,790,Monedero
2026-05-04T06:34:03,53044168,400,Adulto Mayor
2026-05-04T06:34:05,54547542,680,Monedero
2026-05-04T06:34:05,54231816,650,Monedero
2026-05-04T06:34:08,252607296,170,Estudiante
2026-05-04T06:34:11,2000045462,440,Monedero
2026-05-04T06:34:12,2000140628,680,Monedero
2026-05-04T06:34:13,2000210754,680,Monedero
2026-05-04T06:34:16,54469661,680,Monedero
2026-05-04T06:34:16,2000052390,790,Monedero
2026-05-04T06:34:17,54237422,650,Monedero
2026-05-04T06:34:17,2000211327,680,Monedero
2026-05-04T06:34:19,2000200940,680,Monedero
2026-05-04T06:34:22,2000228959,510,Monedero
2026-05-04T06:34:24,2000081006,650,Monedero
2026-05-04T06:34:25,312599007,230,Estudiante
2026-05-04T06:34:31,232519584,0,Estudiante
2026-05-04T06:34:37,2000060773,510,Monedero
2026-05-04T06:34:39,2000206411,510,Monedero
2026-05-04T06:34:40,2106006698,0,Discapacitado
2026-05-04T06:34:44,2000072428,680,Monedero
2026-05-04T06:35:05,54599111,650,Monedero
2026-05-04T06:35:28,2000107298,460,Monedero
2026-05-04T06:35:32,56050818,460,Monedero
2026-05-04T06:35:33,53049291,270,Adulto Mayor
2026-05-04T06:35:35,54542284,510,Monedero
2026-05-04T06:35:35,54240922,530,Monedero
2026-05-04T06:35:40,2000227400,440,Monedero
2026-05-04T06:35:42,54435161,530,Monedero
2026-05-04T06:35:47,1590020,460,Monedero
2026-05-04T06:35:48,53040999,530,Monedero
2026-05-04T06:35:52,54579655,530,Monedero
2026-05-04T06:36:06,54427160,650,Monedero
2026-05-04T06:36:16,2000000601,650,Monedero
2026-05-04T06:36:49,1285125,630,Monedero
2026-05-04T06:37:34,54580146,510,Monedero
2026-05-04T06:38:23,2000032029,420,Monedero
2026-05-04T06:38:59,302367404,220,Estudiante
2026-05-04T06:39:05,2000159861,650,Monedero
2026-05-04T06:39:12,326698,610,Monedero
2026-05-04T06:39:35,54562316,610,Monedero
2026-05-04T06:40:12,54572769,650,Monedero
2026-05-04T06:40:19,2000165370,850,Monedero
2026-05-04T06:40:21,1618539,490,Monedero
2026-05-04T06:40:27,2000115708,850,Monedero
2026-05-04T06:40:27,2000216217,570,Monedero
2026-05-04T06:40:28,242632156,190,Estudiante
2026-05-04T06:40:28,2000034784,850,Monedero
2026-05-04T06:40:32,2106000522,0,Discapacitado
2026-05-04T06:40:33,53046962,0,Discapacitado
2026-05-04T06:40:33,2000054086,850,Monedero
2026-05-04T06:40:33,2000138065,570,Monedero
2026-05-04T06:40:34,2000023311,570,Monedero
2026-05-04T06:40:35,2000104554,850,Monedero
2026-05-04T06:40:36,56071327,0,Discapacitado
2026-05-04T06:40:37,53045525,0,Otros
2026-05-04T06:40:37,2000210807,880,Monedero
2026-05-04T06:40:38,2000079288,570,Monedero
2026-05-04T06:40:38,2000214072,570,Monedero
2026-05-04T06:40:39,53052413,0,Discapacitado
2026-05-04T06:40:40,312685858,190,Estudiante
2026-05-04T06:40:40,2000126099,570,Monedero
2026-05-04T06:40:41,2000197888,850,Monedero
2026-05-04T06:40:42,2000074590,570,Monedero
2026-05-04T06:40:43,54576468,570,Monedero
2026-05-04T06:40:44,54231488,570,Monedero
2026-05-04T06:40:45,2000026914,570,Monedero
2026-05-04T06:40:45,2106003949,0,Otros
2026-05-04T06:40:45,2000026907,850,Monedero
2026-05-04T06:40:47,54441436,850,Monedero
2026-05-04T06:40:47,2000245560,570,Monedero
2026-05-04T06:40:47,2000224664,850,Monedero
2026-05-04T06:40:48,54490338,850,Monedero
2026-05-04T06:40:50,1303456,880,Monedero
2026-05-04T06:40:50,58025981,570,Monedero
2026-05-04T06:40:50,312617583,290,Estudiante
2026-05-04T06:40:51,1271603,570,Monedero
2026-05-04T06:40:52,53048662,430,Adulto Mayor
2026-05-04T06:40:52,252392290,190,Estudiante
2026-05-04T06:40:54,252190677,190,Estudiante
2026-05-04T06:40:54,242687140,290,Estudiante
2026-05-04T06:40:54,54452567,570,Monedero
2026-05-04T06:40:56,312757794,190,Estudiante
2026-05-04T06:40:57,2000176713,570,Monedero
2026-05-04T06:40:58,1552192,570,Monedero
2026-05-04T06:40:59,2000092445,570,Monedero
2026-05-04T06:40:59,2000056539,880,Monedero
2026-05-04T06:40:59,2000102879,880,Monedero
2026-05-04T06:41:00,787230,570,Monedero
2026-05-04T06:41:01,1489377,570,Monedero
2026-05-04T06:41:01,54424606,570,Monedero
2026-05-04T06:41:01,53043615,0,Otros
2026-05-04T06:41:03,2000166919,850,Monedero
2026-05-04T06:41:04,54240213,850,Monedero
2026-05-04T06:41:04,54431373,570,Monedero
2026-05-04T06:41:05,2000037428,570,Monedero
2026-05-04T06:41:06,53056580,0,Discapacitado
2026-05-04T06:41:06,2000120287,850,Monedero
2026-05-04T06:41:07,54592627,850,Monedero
2026-05-04T06:41:08,54583863,570,Monedero
2026-05-04T06:41:08,2000139960,570,Monedero
2026-05-04T06:41:08,2102003489,440,Monedero
2026-05-04T06:41:09,2103010366,290,Adulto Mayor
2026-05-04T06:41:09,54240213,850,Monedero
2026-05-04T06:41:10,56065626,570,Monedero
2026-05-04T06:41:10,2000219434,850,Monedero
2026-05-04T06:41:11,54580927,850,Monedero
2026-05-04T06:41:12,2106001762,0,Discapacitado
2026-05-04T06:41:13,54502705,570,Monedero
2026-05-04T06:41:13,53052466,290,Adulto Mayor
2026-05-04T06:41:13,2000120286,880,Monedero
2026-05-04T06:41:14,2106007546,0,Discapacitado
2026-05-04T06:41:15,2000170503,570,Monedero
2026-05-04T06:41:15,2106000352,0,Discapacitado
2026-05-04T06:41:15,2000195035,570,Monedero
2026-05-04T06:41:17,54596624,420,Monedero
2026-05-04T06:41:17,58018749,430,Adulto Mayor
2026-05-04T06:41:18,2000052702,570,Monedero
2026-05-04T06:41:18,2106000998,0,Discapacitado
2026-05-04T06:41:19,54483988,570,Monedero
2026-05-04T06:41:19,54257656,850,Monedero
2026-05-04T06:41:20,2000022837,850,Monedero
2026-05-04T06:41:20,2000069428,570,Monedero
2026-05-04T06:41:20,2000082893,880,Monedero
2026-05-04T06:41:21,312668781,190,Estudiante
2026-05-04T06:41:23,282162939,190,Estudiante
2026-05-04T06:41:23,54457987,570,Monedero
2026-05-04T06:41:23,2000137093,570,Monedero
2026-05-04T06:41:23,2000227192,850,Monedero
2026-05-04T06:41:24,312638291,290,Estudiante
2026-05-04T06:41:24,2040102410,850,Monedero
2026-05-04T06:41:24,2000186893,850,Monedero
2026-05-04T06:41:25,665583,570,Monedero
2026-05-04T06:41:26,53052286,0,Discapacitado
2026-05-04T06:41:26,54441109,850,Monedero
2026-05-04T06:41:27,252148230,190,Estudiante
2026-05-04T06:41:28,58007205,440,Adulto Mayor
2026-05-04T06:41:28,2000010749,880,Monedero
2026-05-04T06:41:29,2000162142,570,Monedero
2026-05-04T06:41:29,1562339,850,Monedero
2026-05-04T06:41:30,2000203756,570,Monedero
2026-05-04T06:41:31,53044815,430,Adulto Mayor
2026-05-04T06:41:31,2000230966,570,Monedero
2026-05-04T06:41:32,54490361,570,Monedero
2026-05-04T06:41:32,2000171699,570,Monedero
2026-05-04T06:41:32,2000193949,570,Monedero
2026-05-04T06:41:33,312244686,290,Estudiante
2026-05-04T06:41:33,312371573,280,Estudiante
2026-05-04T06:41:34,2000134519,570,Monedero
2026-05-04T06:41:35,54605238,570,Monedero
2026-05-04T06:41:36,53051253,440,Adulto Mayor
2026-05-04T06:41:36,2000055214,850,Monedero
2026-05-04T06:41:37,84310745,280,Estudiante
2026-05-04T06:41:37,54545168,850,Monedero
2026-05-04T06:41:37,2100009113,430,Adulto Mayor
2026-05-04T06:41:38,56081742,440,Adulto Mayor
2026-05-04T06:41:38,2000224915,570,Monedero
2026-05-04T06:41:40,2000132672,850,Monedero
2026-05-04T06:41:41,54308700,850,Monedero
2026-05-04T06:41:41,54459019,570,Monedero
2026-05-04T06:41:41,56081708,290,Adulto Mayor
2026-05-04T06:41:41,2000210949,880,Monedero
2026-05-04T06:41:43,2000121146,850,Monedero
2026-05-04T06:41:43,252206984,290,Estudiante
2026-05-04T06:41:43,312800452,280,Estudiante
2026-05-04T06:41:44,1643222,570,Monedero
2026-05-04T06:41:44,2000230637,570,Monedero
2026-05-04T06:41:44,2103000449,430,Adulto Mayor
2026-05-04T06:41:45,282136592,190,Estudiante
2026-05-04T06:41:45,56071364,430,Adulto Mayor
2026-05-04T06:41:45,56074603,0,Discapacitado
2026-05-04T06:41:46,54528441,850,Monedero
2026-05-04T06:41:46,242495416,190,Estudiante
2026-05-04T06:41:46,252529259,280,Estudiante
2026-05-04T06:41:48,302341977,190,Estudiante
2026-05-04T06:41:49,2000009882,570,Monedero
2026-05-04T06:41:49,2103003725,290,Adulto Mayor
2026-05-04T06:41:50,2000021777,880,Monedero
2026-05-04T06:41:51,2000141592,880,Monedero
2026-05-04T06:41:52,54478629,850,Monedero
2026-05-04T06:41:53,312629217,290,Estudiante
2026-05-04T06:41:53,969144,570,Monedero
2026-05-04T06:41:53,2106006664,0,Discapacitado
2026-05-04T06:41:54,1524375,570,Monedero
2026-05-04T06:41:55,252577503,280,Estudiante
2026-05-04T06:41:55,2000005107,570,Monedero
2026-05-04T06:41:56,1643021,570,Monedero
2026-05-04T06:41:56,58023837,850,Monedero
2026-05-04T06:41:56,2000050375,850,Monedero
2026-05-04T06:41:57,2103003197,430,Adulto Mayor
2026-05-04T06:41:58,302304212,280,Estudiante
2026-05-04T06:41:58,312758733,290,Estudiante
2026-05-04T06:41:58,53043283,290,Adulto Mayor
2026-05-04T06:41:59,252445796,290,Estudiante
2026-05-04T06:42:00,1656931,850,Monedero
2026-05-04T06:42:01,252471896,280,Estudiante
2026-05-04T06:42:02,54432281,570,Monedero
2026-05-04T06:42:02,53052267,0,Discapacitado
2026-05-04T06:42:02,2000197198,880,Monedero
2026-05-04T06:42:03,2000228333,850,Monedero
2026-05-04T06:42:03,2000222371,880,Monedero
2026-05-04T06:42:03,54508255,850,Monedero
2026-05-04T06:42:04,54510361,880,Monedero
2026-05-04T06:42:05,2106003773,0,Discapacitado
2026-05-04T06:42:06,2000087746,850,Monedero
2026-05-04T06:42:07,252081762,280,Estudiante
2026-05-04T06:42:07,2000135908,570,Monedero
2026-05-04T06:42:08,252250608,280,Estudiante
2026-05-04T06:42:08,2040093281,500,Monedero
2026-05-04T06:42:09,58024616,430,Adulto Mayor
2026-05-04T06:42:09,2000197198,880,Monedero
2026-05-04T06:42:09,2000222908,500,Monedero
2026-05-04T06:42:10,2000198415,880,Monedero
2026-05-04T06:42:10,2000232640,570,Monedero
2026-05-04T06:42:11,54549140,850,Monedero
2026-05-04T06:42:11,2106000929,0,Discapacitado
2026-05-04T06:42:12,54486334,850,Monedero
2026-05-04T06:42:12,2000222403,850,Monedero
2026-05-04T06:42:14,56082354,430,Adulto Mayor
2026-05-04T06:42:14,2000124132,490,Monedero
2026-05-04T06:42:16,1489827,570,Monedero
2026-05-04T06:42:16,54465701,880,Monedero
2026-05-04T06:42:17,252577478,280,Estudiante
2026-05-04T06:42:17,2000229028,880,Monedero
2026-05-04T06:42:17,56056623,850,Monedero
2026-05-04T06:42:17,2000201414,850,Monedero
2026-05-04T06:42:19,2000005779,850,Monedero
2026-05-04T06:42:20,252577481,280,Estudiante
2026-05-04T06:42:20,2000204775,570,Monedero
2026-05-04T06:42:21,2000087450,850,Monedero
2026-05-04T06:42:21,2000206929,880,Monedero
2026-05-04T06:42:22,2000172461,850,Monedero
2026-05-04T06:42:22,312724738,280,Estudiante
2026-05-04T06:42:23,2000056361,570,Monedero
2026-05-04T06:42:23,2000198510,850,Monedero
2026-05-04T06:42:24,54469239,850,Monedero
2026-05-04T06:42:25,312744180,290,Estudiante
2026-05-04T06:42:26,252504080,290,Estudiante
2026-05-04T06:42:26,312684060,290,Estudiante
2026-05-04T06:42:27,2000219742,850,Monedero
2026-05-04T06:42:28,2000044691,570,Monedero
2026-05-04T06:42:29,312601486,290,Estudiante
2026-05-04T06:42:30,252459389,280,Estudiante
2026-05-04T06:42:30,58006615,430,Adulto Mayor
2026-05-04T06:42:31,2000200778,850,Monedero
2026-05-04T06:42:31,53055761,290,Adulto Mayor
2026-05-04T06:42:34,252471982,280,Estudiante
2026-05-04T06:42:34,232525234,0,Estudiante
2026-05-04T06:42:34,54517086,850,Monedero
2026-05-04T06:42:35,2000204447,850,Monedero
2026-05-04T06:42:36,252547541,280,Estudiante
2026-05-04T06:42:37,54509184,880,Monedero
2026-05-04T06:42:38,1590171,850,Monedero
2026-05-04T06:42:38,2000128476,880,Monedero
2026-05-04T06:42:39,1574123,850,Monedero
2026-05-04T06:42:39,2000159923,880,Monedero
2026-05-04T06:42:41,252604038,280,Estudiante
2026-05-04T06:42:42,2000118722,570,Monedero
2026-05-04T06:42:43,2103002817,430,Adulto Mayor
2026-05-04T06:42:43,2000188782,850,Monedero
2026-05-04T06:42:43,2000215964,850,Monedero
2026-05-04T06:42:44,54556866,850,Monedero
2026-05-04T06:42:46,2000212072,850,Monedero
2026-05-04T06:42:49,1516255,850,Monedero
2026-05-04T06:42:49,2000231353,850,Monedero
2026-05-04T06:42:50,54571560,570,Monedero
2026-05-04T06:42:54,2000184466,570,Monedero
2026-05-04T06:42:59,2103002248,430,Adulto Mayor
2026-05-04T06:43:00,2000011376,570,Monedero
2026-05-04T06:43:01,2000175110,570,Monedero
2026-05-04T06:43:01,54236596,850,Monedero
2026-05-04T06:43:04,54528627,850,Monedero
2026-05-04T06:43:06,2106007496,0,Discapacitado
2026-05-04T06:43:06,54540878,880,Monedero
2026-05-04T06:43:09,2000207990,570,Monedero
2026-05-04T06:43:11,2106003966,0,Discapacitado
2026-05-04T06:43:12,252388530,290,Estudiante
