fecha_viaje,estacion_origen,estacion_destino,sentido_viaje,servicio_asignado,tarifa_pagada,tipo_pasajero
2026-05-04,LLANQUIHUE,ALERCE,LLANQUIHUE-LA PALOMA,22601,400,Estudiante
2026-05-04,LLANQUIHUE,ALERCE,LLANQUIHUE-LA PALOMA,22601,1200,Normal
2026-05-04,LLANQUIHUE,PUERTO VARAS,LLANQUIHUE-LA PALOMA,22601,600,Normal
2026-05-04,LLANQUIHUE,ALERCE,LLANQUIHUE-LA PALOMA,22601,1200,Normal
2026-05-04,LLANQUIHUE,ALERCE,LLANQUIHUE-LA PALOMA,22601,600,Adulto Mayor
2026-05-04,LLANQUIHUE,ALERCE,LLANQUIHUE-LA PALOMA,22601,600,Adulto Mayor
2026-05-04,PUERTO VARAS,ALERCE,LLANQUIHUE-LA PALOMA,22601,0,Otros
2026-05-04,PUERTO VARAS,LA PALOMA,LLANQUIHUE-LA PALOMA,22601,1200,Normal
2026-05-01,PUERTO VARAS,PUERTO VARAS,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,PUERTO VARAS,PUERTO VARAS,,,1500,Normal
2026-05-01,PUERTO VARAS,PUERTO VARAS,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,PUERTO VARAS,PUERTO VARAS,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,PUERTO VARAS,LA PALOMA-LLANQUIHUE,,1200,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,PUERTO VARAS,PUERTO VARAS,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
2026-05-01,PUERTO VARAS,PUERTO VARAS,,,1500,Normal
2026-05-01,LA PALOMA,LA PALOMA,,,1500,Normal
