fecha_viaje,estacion_origen,estacion_destino,servicio_asignado,sentido_viaje,tarifa_pagada,tipo_pasajero
2026-05-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-05-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,750,Adulto Mayor
2026-05-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,750,Adulto Mayor
2026-05-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,500,Estudiante
2026-05-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-05-31,Alerce,La Paloma,22615,Llanquihue - La Paloma,900,Normal
2026-05-31,Puerto Varas,La Paloma,22617,Llanquihue - La Paloma,1200,Normal
2026-05-31,Puerto Varas,La Paloma,22617,Llanquihue - La Paloma,1200,Normal
2026-05-31,Alerce,La Paloma,22617,Llanquihue - La Paloma,900,Normal
2026-05-31,Llanquihue,Alerce,22615,Llanquihue - La Paloma,1200,Normal
2026-05-31,Puerto Varas,Alerce,22615,Llanquihue - La Paloma,1000,Normal
2026-05-31,Puerto Varas,Alerce,22615,Llanquihue - La Paloma,1000,Normal
2026-05-31,Puerto Varas,Alerce,22615,Llanquihue - La Paloma,1000,Normal
2026-05-31,Puerto Varas,Alerce,22615,Llanquihue - La Paloma,1000,Normal
2026-05-31,Puerto Varas,Alerce,22615,Llanquihue - La Paloma,1000,Normal
2026-05-31,Puerto Varas,Alerce,22615,Llanquihue - La Paloma,1000,Normal
2026-05-31,La Paloma,Alerce,22616,La Paloma - Llanquihue,900,Normal
2026-05-31,La Paloma,Alerce,22616,La Paloma - Llanquihue,900,Normal
2026-05-31,Llanquihue,Alerce,22617,Llanquihue - La Paloma,1200,Normal
2026-05-31,Llanquihue,Alerce,22617,Llanquihue - La Paloma,1200,Normal
2026-05-31,Llanquihue,Alerce,22617,Llanquihue - La Paloma,1200,Normal
2026-05-31,Llanquihue,Alerce,22617,Llanquihue - La Paloma,1200,Normal
2026-05-31,Llanquihue,Alerce,22617,Llanquihue - La Paloma,0,Estudiante
2026-05-31,Llanquihue,Alerce,22617,Llanquihue - La Paloma,0,Estudiante
2026-05-31,Llanquihue,Alerce,22617,Llanquihue - La Paloma,1200,Normal
2026-05-31,Llanquihue,La Paloma,22613,Llanquihue - La Paloma,500,Estudiante
2026-05-31,Llanquihue,La Paloma,22613,Llanquihue - La Paloma,1500,Normal
2026-05-31,Llanquihue,La Paloma,22613,Llanquihue - La Paloma,1500,Normal
2026-05-31,Llanquihue,La Paloma,22613,Llanquihue - La Paloma,1500,Normal
2026-05-31,Llanquihue,La Paloma,22613,Llanquihue - La Paloma,1500,Normal
2026-05-31,Puerto Varas,La Paloma,22613,Llanquihue - La Paloma,400,Estudiante
2026-05-31,Puerto Varas,La Paloma,22613,Llanquihue - La Paloma,1200,Normal
2026-05-31,Puerto Varas,La Paloma,22613,Llanquihue - La Paloma,1200,Normal
2026-05-31,Puerto Varas,La Paloma,22613,Llanquihue - La Paloma,1200,Normal
2026-05-31,Puerto Varas,La Paloma,22613,Llanquihue - La Paloma,1200,Normal
2026-05-31,Puerto Varas,La Paloma,22613,Llanquihue - La Paloma,1200,Normal
2026-05-31,Puerto Varas,La Paloma,22613,Llanquihue - La Paloma,1200,Normal
2026-05-31,Puerto Varas,La Paloma,22613,Llanquihue - La Paloma,1200,Normal
2026-05-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,750,Adulto Mayor
2026-05-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-05-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-05-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-05-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-05-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,600,Adulto Mayor
2026-05-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,400,Estudiante
2026-05-31,Llanquihue,Alerce,22613,Llanquihue - La Paloma,1200,Normal
2026-05-31,Llanquihue,Alerce,22613,Llanquihue - La Paloma,1200,Normal
2026-05-31,Llanquihue,Alerce,22613,Llanquihue - La Paloma,400,Estudiante
2026-05-31,Llanquihue,Alerce,22613,Llanquihue - La Paloma,0,Discapacitado
2026-05-31,Puerto Varas,Alerce,22613,Llanquihue - La Paloma,1000,Normal
2026-05-31,Puerto Varas,Alerce,22613,Llanquihue - La Paloma,1000,Normal
2026-05-31,Puerto Varas,Alerce,22613,Llanquihue - La Paloma,1000,Normal
2026-05-31,Puerto Varas,Alerce,22613,Llanquihue - La Paloma,1000,Normal
2026-05-31,Puerto Varas,Alerce,22613,Llanquihue - La Paloma,1000,Normal
2026-05-31,Puerto Varas,Alerce,22613,Llanquihue - La Paloma,1000,Normal
2026-05-31,La Paloma,Alerce,22614,La Paloma - Llanquihue,900,Normal
2026-05-31,Puerto Varas,Llanquihue,22615,Llanquihue - La Paloma,600,Normal
2026-05-31,Llanquihue,Puerto Varas,22616,La Paloma - Llanquihue,0,Normal
2026-05-31,Llanquihue,Puerto Varas,22616,La Paloma - Llanquihue,0,Normal
2026-05-31,Llanquihue,Puerto Varas,22614,La Paloma - Llanquihue,0,Normal
2026-05-31,La Paloma,Puerto Varas,22613,Llanquihue - La Paloma,0,Normal
2026-05-31,La Paloma,Puerto Varas,22613,Llanquihue - La Paloma,0,Normal
2026-05-31,La Paloma,Puerto Varas,22613,Llanquihue - La Paloma,0,Adulto Mayor
2026-05-31,La Paloma,Puerto Varas,22613,Llanquihue - La Paloma,0,Normal
2026-05-31,La Paloma,Puerto Varas,22613,Llanquihue - La Paloma,0,Normal
2026-05-31,La Paloma,Puerto Varas,22613,Llanquihue - La Paloma,0,Normal
2026-05-31,La Paloma,Puerto Varas,22613,Llanquihue - La Paloma,0,Normal
2026-05-31,La Paloma,Llanquihue,22613,Llanquihue - La Paloma,0,Normal
2026-05-31,La Paloma,Llanquihue,22613,Llanquihue - La Paloma,0,Normal
2026-05-31,Llanquihue,La Paloma,22609,Llanquihue - La Paloma,1500,Normal
2026-05-31,Llanquihue,La Paloma,22609,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,Alerce,22616,La Paloma - Llanquihue,900,Normal
2026-05-30,La Paloma,La Paloma,22607,Llanquihue - La Paloma,1500,Normal
2026-05-30,Alerce,La Paloma,22601,Llanquihue - La Paloma,900,Normal
2026-05-30,La Paloma,La Paloma,22618,La Paloma - Llanquihue,1500,Normal
2026-05-30,Llanquihue,La Paloma,22602,La Paloma - Llanquihue,1500,Normal
2026-05-30,La Paloma,La Paloma,22614,La Paloma - Llanquihue,1500,Normal
2026-05-30,Puerto Varas,Puerto Varas,22603,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,La Paloma,22603,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,La Paloma,22601,Llanquihue - La Paloma,1500,Normal
2026-05-30,Alerce,Llanquihue,22603,Llanquihue - La Paloma,1200,Normal
2026-05-30,Alerce,La Paloma,22607,Llanquihue - La Paloma,900,Normal
2026-05-30,Alerce,Alerce,22603,Llanquihue - La Paloma,1500,Normal
2026-05-30,Llanquihue,La Paloma,22601,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,La Paloma,22603,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,La Paloma,22601,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,La Paloma,22611,Llanquihue - La Paloma,1500,Normal
2026-05-30,Llanquihue,Llanquihue,22601,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,Llanquihue,22605,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-05-30,Llanquihue,Llanquihue,22619,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,La Paloma,22602,La Paloma - Llanquihue,1500,Normal
2026-05-30,La Paloma,La Paloma,22616,La Paloma - Llanquihue,1500,Normal
2026-05-30,Puerto Varas,Puerto Varas,22603,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,Puerto Varas,22617,Llanquihue - La Paloma,1200,Normal
2026-05-30,Llanquihue,Puerto Varas,22611,Llanquihue - La Paloma,600,Normal
2026-05-30,La Paloma,La Paloma,22609,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,La Paloma,22614,La Paloma - Llanquihue,1500,Normal
2026-05-30,La Paloma,Alerce,22617,Llanquihue - La Paloma,900,Normal
2026-05-30,Alerce,Alerce,22603,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,La Paloma,22616,La Paloma - Llanquihue,1500,Normal
2026-05-30,Llanquihue,Llanquihue,22601,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,La Paloma,22612,La Paloma - Llanquihue,1500,Normal
2026-05-30,La Paloma,La Paloma,22607,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,La Paloma,22603,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,La Paloma,22601,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,Llanquihue,22601,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,1500,Normal
2026-05-30,La Paloma,La Paloma,22601,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,La Paloma,22602,La Paloma - Llanquihue,1500,Normal
2026-05-30,Alerce,La Paloma,22601,Llanquihue - La Paloma,900,Normal
2026-05-30,Llanquihue,Alerce,22601,Llanquihue - La Paloma,1200,Normal
2026-05-30,Alerce,La Paloma,22602,La Paloma - Llanquihue,900,Normal
2026-05-30,La Paloma,La Paloma,22604,La Paloma - Llanquihue,1500,Normal
2026-05-30,Llanquihue,Llanquihue,22606,La Paloma - Llanquihue,1500,Normal
2026-05-30,Puerto Varas,La Paloma,22611,Llanquihue - La Paloma,1200,Normal
2026-05-30,Alerce,Alerce,22615,Llanquihue - La Paloma,1500,Normal
2026-05-30,Puerto Varas,La Paloma,22607,Llanquihue - La Paloma,400,Estudiante
2026-05-30,La Paloma,La Paloma,22601,Llanquihue - La Paloma,500,Estudiante
2026-05-30,Alerce,La Paloma,22602,La Paloma - Llanquihue,900,Normal
2026-05-30,La Paloma,Llanquihue,22607,Llanquihue - La Paloma,500,Estudiante
2026-05-30,La Paloma,Alerce,22616,La Paloma - Llanquihue,300,Estudiante
2026-05-30,Puerto Varas,Puerto Varas,22617,Llanquihue - La Paloma,1500,Normal
2026-05-30,Alerce,Alerce,22620,La Paloma - Llanquihue,500,Estudiante
2026-05-30,La Paloma,La Paloma,22612,La Paloma - Llanquihue,1500,Normal
2026-05-30,La Paloma,La Paloma,22610,La Paloma - Llanquihue,1500,Normal
2026-05-30,Puerto Varas,La Paloma,22601,Llanquihue - La Paloma,1200,Normal
2026-05-30,La Paloma,Alerce,22612,La Paloma - Llanquihue,900,Normal
2026-05-30,La Paloma,La Paloma,22601,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,La Paloma,22601,Llanquihue - La Paloma,500,Estudiante
2026-05-30,Llanquihue,Puerto Varas,22613,Llanquihue - La Paloma,600,Normal
2026-05-30,La Paloma,Puerto Varas,22612,La Paloma - Llanquihue,1200,Normal
2026-05-30,La Paloma,La Paloma,22608,La Paloma - Llanquihue,1500,Normal
2026-05-30,Alerce,La Paloma,22601,Llanquihue - La Paloma,900,Normal
2026-05-30,La Paloma,La Paloma,22605,Llanquihue - La Paloma,1500,Normal
2026-05-30,Puerto Varas,Puerto Varas,22611,Llanquihue - La Paloma,1500,Normal
2026-05-30,Alerce,Llanquihue,22603,Llanquihue - La Paloma,1200,Normal
2026-05-30,Alerce,Alerce,22602,La Paloma - Llanquihue,1500,Normal
2026-05-30,La Paloma,La Paloma,22611,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,La Paloma,22603,Llanquihue - La Paloma,500,Estudiante
2026-05-30,La Paloma,La Paloma,22601,Llanquihue - La Paloma,1500,Normal
2026-05-30,La Paloma,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-05-30,Puerto Varas,Alerce,22617,Llanquihue - La Paloma,1000,Normal
2026-05-30,La Paloma,La Paloma,22618,La Paloma - Llanquihue,1500,Normal
2026-05-30,La Paloma,Puerto Varas,22601,Llanquihue - La Paloma,1200,Normal
2026-05-30,Puerto Varas,La Paloma,22602,La Paloma - Llanquihue,1200,Normal
2026-05-30,La Paloma,Llanquihue,22606,La Paloma - Llanquihue,1500,Normal
2026-05-30,Alerce,Puerto Varas,22620,La Paloma - Llanquihue,1000,Normal
