fecha_viaje,estacion_origen,estacion_destino,sentido_viaje,servicio_asignado,tarifa_pagada,tipo_pasajero
2026-05-28,CONCEPCION,LAJA,,,0.0,Normal
2026-05-25,VALLE CHANCO,LAJA,,,0.0,Adulto Mayor
2026-05-25,TALCAMAVIDA,LAJA,,,0.0,Adulto Mayor
2026-05-25,TALCAMAVIDA,LAJA,,,0.0,Adulto Mayor
2026-05-25,GOMERO,SAN ROSENDO,,,0.0,Normal
2026-05-25,EL ARENAL,LAJA,,,0.0,Normal
2026-05-25,CONCEPCION,LAJA,,,0.0,Adulto Mayor
2026-05-25,BUENURAQUI,LAJA,,,0.0,Normal
2026-05-25,UTF SANTA MARIA,LAJA,,,0.0,Estudiante
2026-05-25,CONCEPCION,LAJA,,,0.0,Normal
2026-05-25,CONCEPCION,LAJA,,,0.0,Normal
2026-05-25,LOS CONDORES,BUENURAQUI,,,0.0,Adulto Mayor
2026-05-25,CONCEPCION,LAJA,,,0.0,Estudiante
2026-05-25,CONCEPCION,LAJA,,,0.0,Estudiante
2026-05-25,CONCEPCION,LAJA,,,0.0,Estudiante
2026-05-25,CONCEPCION,SAN ROSENDO,,,0.0,Normal
2026-05-25,CONCEPCION,BUENURAQUI,,,0.0,Adulto Mayor
2026-05-25,CONCEPCION,BUENURAQUI,,,0.0,Normal
2026-05-25,CONCEPCION,VALLE CHANCO,,,0.0,Normal
2026-05-25,PEDRO MEDINA,UNIHUE,,,0.0,Normal
2026-05-25,CHIGUAYANTE,LAJA,,,0.0,Normal
2026-05-23,LAJA,CONCEPCION,,,0.0,Normal
2026-05-23,LAJA,CONCEPCION,,,0.0,Normal
2026-05-16,CHIGUAYANTE,LOS ACACIOS,,,0.0,Normal
2026-05-15,LOS ACACIOS,CONCEPCION,,,0.0,Estudiante
2026-05-14,LAJA,CONCEPCION,,,0.0,Adulto Mayor
2026-05-13,UNIHUE,CONCEPCION,,,0.0,Normal
2026-05-13,LAJA,CONCEPCION,,,0.0,Normal
2026-05-13,LAJA,CONCEPCION,,,0.0,Estudiante
2026-05-12,HUALQUI,LAJA,,,0.0,Adulto Mayor
2026-05-12,CONCEPCION,TALCAMAVIDA,,,0.0,Normal
2026-05-12,LAJA,CONCEPCION,,,0.0,Normal
2026-05-11,CONCEPCION,BUENURAQUI,,,0.0,Normal
2026-05-11,SAN ROSENDO,HUALQUI,,,0.0,Normal
2026-05-11,LAJA,HUALQUI,,,0.0,Normal
2026-05-11,LOS ACACIOS,UTF SANTA MARIA,,,0.0,Adulto Mayor
2026-05-11,MANQUIMAVIDA,LAJA,,,0.0,Normal
2026-05-11,CONCEPCION,GOMERO,,,0.0,Normal
2026-05-10,CONCEPCION,LAJA,,,0.0,Normal
2026-05-10,LAJA,LA LEONERA,,,0.0,Normal
2026-05-10,CONCEPCION,BUENURAQUI,,,0.0,Estudiante
2026-05-10,LAJA,CONCEPCION,,,0.0,Normal
2026-05-09,LAJA,UTF SANTA MARIA,,,0.0,Normal
2026-05-09,LAJA,UTF SANTA MARIA,,,0.0,Normal
2026-05-09,CONCEPCION,SAN ROSENDO,,,0.0,Estudiante
2026-05-09,LAJA,MERCADO,,,0.0,Normal
2026-05-09,LAJA,MERCADO,,,0.0,Normal
2026-05-08,CONCEPCION,SAN ROSENDO,,,0.0,Normal
2026-05-08,LAJA,CONCEPCION,,,0.0,Estudiante
2026-05-08,BUENURAQUI,CONCEPCION,,,0.0,Normal
2026-05-08,LAJA,CONCEPCION,,,0.0,Adulto Mayor
2026-05-08,TALCAMAVIDA,LAJA,,,0.0,Estudiante
2026-05-08,UNIHUE,CONCEPCION,,,0.0,Normal
2026-05-08,LAJA,CONCEPCION,,,0.0,Normal
2026-05-08,LAJA,CONCEPCION,,,0.0,Estudiante
2026-05-07,LAJA,CONCEPCION,,,0.0,Normal
2026-05-07,CONCEPCION,BUENURAQUI,,,0.0,Estudiante
2026-05-07,LA LEONERA,LOS ACACIOS,,,0.0,Normal
2026-05-06,BUENURAQUI,CONCEPCION,,,0.0,Adulto Mayor
2026-05-06,LOS ACACIOS,CONCEPCION,,,0.0,Normal
2026-05-06,UNIHUE,CONCEPCION,,,0.0,Normal
2026-05-06,VALLE CHANCO,CONCEPCION,,,0.0,Normal
2026-05-06,TALCAMAVIDA,CONCEPCION,,,0.0,Normal
2026-05-06,CONCEPCION,LAJA,,,0.0,Normal
2026-05-06,CONCEPCION,SAN ROSENDO,,,0.0,Estudiante
2026-05-06,CONCEPCION,SAN ROSENDO,,,0.0,Normal
2026-05-06,CONCEPCION,QUILACOYA,,,0.0,Estudiante
2026-05-05,TALCAMAVIDA,CONCEPCION,,,0.0,Estudiante
2026-05-05,CONCEPCION,BUENURAQUI,,,0.0,Normal
2026-05-05,CONCEPCION,LAJA,,,0.0,Adulto Mayor
2026-05-05,CONCEPCION,LAJA,,,0.0,Adulto Mayor
2026-05-05,CONCEPCION,LAJA,,,0.0,Adulto Mayor
2026-05-05,LOS ACACIOS,CONCEPCION,,,0.0,Normal
2026-05-05,QUILACOYA,CONCEPCION,,,0.0,Normal
2026-05-05,QUILACOYA,CONCEPCION,,,0.0,Normal
2026-05-05,TALCAMAVIDA,CONCEPCION,,,0.0,Adulto Mayor
2026-05-05,CONCEPCION,BUENURAQUI,,,0.0,Normal
2026-05-05,LAJA,HOSPITAL LAS HIGUERAS,,,0.0,Adulto Mayor
2026-05-04,LAJA,TALCAMAVIDA,,,0.0,Normal
2026-05-04,LAJA,CONCEPCION,,,0.0,Normal
2026-05-04,LA LEONERA,LAJA,,,0.0,Normal
2026-05-04,LAJA,CONCEPCION,,,0.0,Normal
2026-05-04,CONCEPCION,SAN ROSENDO,,,0.0,Normal
