fecha_viaje,estacion_origen,estacion_destino,sentido_viaje,servicio_asignado,tarifa_pagada,tipo_pasajero
2026-05-12,HUALQUI,LAJA,TH-LJ,20843,0,Adulto Mayor
2026-05-12,CONCEPCIÓN,TALCAMÁVIDA,TH-LJ,20843,0,Normal
2026-05-12,LAJA,CONCEPCIÓN,LJ-TH,20856,0,Normal
2026-05-11,CONCEPCIÓN,BUENURAQUI,TH-LJ,20855,0,Normal
2026-05-11,SAN ROSENDO,HUALQUI,LJ-TH,20862,0,Normal
2026-05-11,LAJA,HUALQUI,LJ-TH,20856,0,Normal
2026-05-11,LOS ACACIOS,UTF SANTA MARÍA,LJ-TH,20856,0,Adulto Mayor
2026-05-11,MANQUIMÁVIDA,LAJA,TH-LJ,20843,0,Normal
2026-05-11,CONCEPCIÓN,GOMERO,TH-LJ,20865,0,Normal
2026-05-10,CONCEPCIÓN,LAJA,TH-LJ,20847,0,Normal
2026-05-10,LAJA,LA LEONERA,LJ-TH,20848,0,Normal
2026-05-10,CONCEPCIÓN,BUENURAQUI,TH-LJ,20845,0,Estudiante
2026-05-10,LAJA,CONCEPCIÓN,LJ-TH,20846,0,Normal
2026-05-09,LAJA,UTF SANTA MARÍA,LJ-TH,20848,0,Normal
2026-05-09,LAJA,UTF SANTA MARÍA,LJ-TH,20848,0,Normal
2026-05-09,CONCEPCIÓN,SAN ROSENDO,TH-LJ,20847,0,Estudiante
2026-05-09,LAJA,MERCADO,LJ-TH,20844,0,Normal
2026-05-09,LAJA,MERCADO,LJ-TH,20844,0,Normal
2026-05-08,CONCEPCIÓN,SAN ROSENDO,TH-LJ,20855,0,Normal
2026-05-08,LAJA,CONCEPCIÓN,LJ-TH,20862,0,Estudiante
2026-05-08,BUENURAQUI,CONCEPCIÓN,LJ-TH,20862,0,Normal
2026-05-08,LAJA,CONCEPCIÓN,LJ-TH,20862,0,Adulto Mayor
2026-05-08,TALCAMÁVIDA,LAJA,TH-LJ,20843,0,Estudiante
2026-05-08,UNIHUE,CONCEPCIÓN,LJ-TH,20856,0,Normal
2026-05-08,LAJA,CONCEPCIÓN,LJ-TH,20856,0,Normal
2026-05-08,LAJA,CONCEPCIÓN,LJ-TH,20856,0,Estudiante
2026-05-07,LAJA,CONCEPCIÓN,LJ-TH,20862,0,Normal
2026-05-07,CONCEPCIÓN,BUENURAQUI,TH-LJ,20855,0,Estudiante
2026-05-07,LA LEONERA,LOS ACACIOS,TH-LJ,20843,0,Normal
2026-05-06,BUENURAQUI,CONCEPCIÓN,LJ-TH,20862,0,Adulto Mayor
2026-05-06,LOS ACACIOS,CONCEPCIÓN,LJ-TH,20856,0,Normal
2026-05-06,UNIHUE,CONCEPCIÓN,LJ-TH,20856,0,Normal
2026-05-06,VALLE CHANCO,CONCEPCIÓN,LJ-TH,20856,0,Normal
