fecha_viaje,estacion_origen,estacion_destino,servicio_asignado,sentido_viaje,tarifa_pagada,tipo_pasajero
2026-06-25,LAJA,UNIHUE,20842,Laja - Talcahuano,0,Normal
2026-06-24,LAJA,CONCEPCIÓN,20842,Laja - Talcahuano,0,Normal
2026-06-20,LORENZO ARENAS,LAJA,20845,Talcahuano - Laja,0,Estudiante
2026-06-20,CONCEPCIÓN,LAJA,20859,Talcahuano - Laja,0,Estudiante
2026-06-20,CONCEPCIÓN,LAJA,20859,Talcahuano - Laja,0,Normal
2026-06-18,LAJA,LOS ACACIOS,20842,Laja - Talcahuano,0,Normal
2026-06-15,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Normal
2026-06-15,LAJA,CONCEPCIÓN,20842,Laja - Talcahuano,0,Normal
2026-06-13,CONCEPCIÓN,TALCAMÁVIDA,20845,Talcahuano - Laja,0,Normal
2026-06-13,TALCAMÁVIDA,SAN ROSENDO,20857,Talcahuano - Laja,0,Normal
2026-06-12,PEDRO MEDINA,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-06-12,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-06-12,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-06-12,GOMERO,CONCEPCIÓN,20842,Laja - Talcahuano,0,Normal
2026-06-12,CONCEPCIÓN,LAJA,20865,Talcahuano - Laja,0,Estudiante
2026-06-12,CONCEPCIÓN,LAJA,20865,Talcahuano - Laja,0,Estudiante
2026-06-12,CONCEPCIÓN,TALCAMÁVIDA,20843,Talcahuano - Laja,0,Adulto Mayor
2026-06-12,CONCEPCIÓN,LAJA,20865,Talcahuano - Laja,0,Adulto Mayor
2026-06-12,UTF SANTA MARÍA,LAJA,20865,Talcahuano - Laja,0,Estudiante
2026-06-11,LORENZO ARENAS,LAJA,20865,Talcahuano - Laja,0,Adulto Mayor
2026-06-10,CONCEPCIÓN,QUILACOYA,20865,Talcahuano - Laja,0,Normal
2026-06-09,CONCEPCIÓN,UNIHUE,20855,Talcahuano - Laja,0,Normal
2026-06-09,CONCEPCIÓN,LAJA,20865,Talcahuano - Laja,0,Normal
2026-06-08,CONCEPCIÓN,LAJA,20865,Talcahuano - Laja,0,Estudiante
2026-06-07,LAJA,CONCEPCIÓN,20848,Laja - Talcahuano,0,Normal
2026-06-07,CONCEPCIÓN,LAJA,20847,Talcahuano - Laja,0,Estudiante
2026-06-07,SAN ROSENDO,LA LEONERA,20848,Laja - Talcahuano,0,Estudiante
2026-06-07,CONCEPCIÓN,LAJA,20847,Talcahuano - Laja,0,Estudiante
2026-06-07,UNIHUE,CONCEPCIÓN,20848,Laja - Talcahuano,0,Adulto Mayor
2026-06-07,CONCEPCIÓN,LAJA,20845,Talcahuano - Laja,0,Estudiante
2026-06-07,LA LEONERA,LAJA,20845,Talcahuano - Laja,0,Normal
2026-06-07,CONCEPCIÓN,LAJA,20845,Talcahuano - Laja,0,Normal
2026-06-07,LAJA,CONCEPCIÓN,20848,Laja - Talcahuano,0,Normal
2026-06-07,CONCEPCIÓN,LAJA,20857,Talcahuano - Laja,0,Normal
2026-06-07,CONCEPCIÓN,VALLE CHANCO,20857,Talcahuano - Laja,0,Normal
2026-06-06,CONCEPCIÓN,LAJA,20847,Talcahuano - Laja,0,Estudiante
2026-06-06,CONCEPCIÓN,LAJA,20847,Talcahuano - Laja,0,Estudiante
2026-06-06,LAJA,LA LEONERA,20848,Laja - Talcahuano,0,Normal
2026-06-06,CONCEPCIÓN,SAN ROSENDO,20845,Talcahuano - Laja,0,Estudiante
2026-06-06,CONCEPCIÓN,LAJA,20845,Talcahuano - Laja,0,Estudiante
2026-06-06,CONCEPCIÓN,LAJA,20845,Talcahuano - Laja,0,Estudiante
2026-06-06,CONCEPCIÓN,SAN ROSENDO,20845,Talcahuano - Laja,0,Adulto Mayor
2026-06-06,CONCEPCIÓN,LOS ACACIOS,20845,Talcahuano - Laja,0,Estudiante
2026-06-06,CONCEPCIÓN,LAJA,20859,Talcahuano - Laja,0,Estudiante
2026-06-06,SAN ROSENDO,EL ARENAL,20846,Laja - Talcahuano,0,Normal
2026-06-06,UNIHUE,LAJA,20859,Talcahuano - Laja,0,Normal
2026-06-05,MERCADO,LAJA,20865,Talcahuano - Laja,0,Normal
2026-06-05,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-06-05,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-06-05,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Normal
2026-06-05,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Normal
2026-06-05,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-06-05,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-06-05,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-06-05,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-06-05,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-06-05,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-06-05,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-06-05,CONCEPCIÓN,SAN ROSENDO,20855,Talcahuano - Laja,0,Normal
2026-06-05,UTF SANTA MARÍA,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-06-05,LOS CÓNDORES,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-06-05,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-06-05,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-06-05,LAJA,CONCEPCIÓN,20842,Laja - Talcahuano,0,Estudiante
2026-06-05,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-06-05,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Normal
2026-06-05,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-06-05,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-06-05,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Estudiante
