fecha_viaje,estacion_origen,estacion_destino,servicio_asignado,sentido_viaje,tarifa_pagada,tipo_pasajero
2026-05-28,LAJA,CONCEPCIÓN,20842,Laja - Talcahuano,0,Normal
2026-05-25,LAJA,Valle Chanco,20842,Laja - Talcahuano,0,Adulto Mayor
2026-05-25,LAJA,TALCAMÁVIDA,20842,Laja - Talcahuano,0,Adulto Mayor
2026-05-25,LAJA,TALCAMÁVIDA,20842,Laja - Talcahuano,0,Adulto Mayor
2026-05-25,SAN ROSENDO,GOMERO,20842,Laja - Talcahuano,0,Normal
2026-05-25,LAJA,EL ARENAL,20842,Laja - Talcahuano,0,Normal
2026-05-25,LAJA,CONCEPCIÓN,20842,Laja - Talcahuano,0,Adulto Mayor
2026-05-25,LAJA,BUENURAQUI,20842,Laja - Talcahuano,0,Normal
2026-05-25,LAJA,UTF Santa María,20842,Laja - Talcahuano,0,Estudiante
2026-05-25,LAJA,CONCEPCIÓN,20842,Laja - Talcahuano,0,Normal
2026-05-25,LAJA,CONCEPCIÓN,20842,Laja - Talcahuano,0,Normal
2026-05-25,BUENURAQUI,Los Cóndores,20842,Laja - Talcahuano,0,Adulto Mayor
2026-05-25,LAJA,CONCEPCIÓN,20842,Laja - Talcahuano,0,Estudiante
2026-05-25,LAJA,CONCEPCIÓN,20842,Laja - Talcahuano,0,Estudiante
2026-05-25,LAJA,CONCEPCIÓN,20842,Laja - Talcahuano,0,Estudiante
2026-05-25,SAN ROSENDO,CONCEPCIÓN,20842,Laja - Talcahuano,0,Normal
2026-05-25,BUENURAQUI,CONCEPCIÓN,20842,Laja - Talcahuano,0,Adulto Mayor
2026-05-25,BUENURAQUI,CONCEPCIÓN,20842,Laja - Talcahuano,0,Normal
2026-05-25,Valle Chanco,CONCEPCIÓN,20842,Laja - Talcahuano,0,Normal
2026-05-25,UNIHUE,Pedro Medina,20842,Laja - Talcahuano,0,Normal
2026-05-25,LAJA,CHIGUAYANTE,20842,Laja - Talcahuano,0,Normal
2026-05-23,CONCEPCIÓN,LAJA,20845,Talcahuano - Laja,0,Normal
2026-05-23,CONCEPCIÓN,LAJA,20845,Talcahuano - Laja,0,Normal
2026-05-16,Los Acacios,CHIGUAYANTE,20846,Laja - Talcahuano,0,Normal
2026-05-15,CONCEPCIÓN,Los Acacios,20841,Talcahuano - Laja,0,Estudiante
2026-05-14,CONCEPCIÓN,LAJA,20865,Talcahuano - Laja,0,Adulto Mayor
2026-05-13,CONCEPCIÓN,UNIHUE,20855,Talcahuano - Laja,0,Normal
2026-05-13,CONCEPCIÓN,LAJA,20865,Talcahuano - Laja,0,Normal
2026-05-13,CONCEPCIÓN,LAJA,20865,Talcahuano - Laja,0,Estudiante
2026-05-12,LAJA,HUALQUI,20842,Laja - Talcahuano,0,Adulto Mayor
2026-05-12,TALCAMÁVIDA,CONCEPCIÓN,20862,Laja - Talcahuano,0,Normal
2026-05-12,CONCEPCIÓN,LAJA,20865,Talcahuano - Laja,0,Normal
2026-05-11,BUENURAQUI,CONCEPCIÓN,20842,Laja - Talcahuano,0,Normal
2026-05-11,HUALQUI,SAN ROSENDO,20841,Talcahuano - Laja,0,Normal
2026-05-11,HUALQUI,LAJA,20865,Talcahuano - Laja,0,Normal
2026-05-11,UTF Santa María,Los Acacios,20865,Talcahuano - Laja,0,Adulto Mayor
2026-05-11,LAJA,Manquimávida,20842,Laja - Talcahuano,0,Normal
2026-05-11,GOMERO,CONCEPCIÓN,20842,Laja - Talcahuano,0,Normal
2026-05-10,LAJA,CONCEPCIÓN,20848,Laja - Talcahuano,0,Normal
2026-05-10,LA LEONERA,LAJA,20845,Talcahuano - Laja,0,Normal
2026-05-10,BUENURAQUI,CONCEPCIÓN,20846,Laja - Talcahuano,0,Estudiante
2026-05-10,CONCEPCIÓN,LAJA,20859,Talcahuano - Laja,0,Normal
2026-05-09,UTF Santa María,LAJA,20847,Talcahuano - Laja,0,Normal
2026-05-09,UTF Santa María,LAJA,20847,Talcahuano - Laja,0,Normal
2026-05-09,SAN ROSENDO,CONCEPCIÓN,20848,Laja - Talcahuano,0,Estudiante
2026-05-09,Mercado,LAJA,20857,Talcahuano - Laja,0,Normal
2026-05-09,Mercado,LAJA,20857,Talcahuano - Laja,0,Normal
2026-05-08,SAN ROSENDO,CONCEPCIÓN,20842,Laja - Talcahuano,0,Normal
2026-05-08,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Estudiante
2026-05-08,CONCEPCIÓN,BUENURAQUI,20841,Talcahuano - Laja,0,Normal
2026-05-08,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Adulto Mayor
2026-05-08,LAJA,TALCAMÁVIDA,20842,Laja - Talcahuano,0,Estudiante
2026-05-08,CONCEPCIÓN,UNIHUE,20843,Talcahuano - Laja,0,Normal
2026-05-08,CONCEPCIÓN,LAJA,20865,Talcahuano - Laja,0,Normal
2026-05-08,CONCEPCIÓN,LAJA,20865,Talcahuano - Laja,0,Estudiante
2026-05-07,CONCEPCIÓN,LAJA,20855,Talcahuano - Laja,0,Normal
2026-05-07,BUENURAQUI,CONCEPCIÓN,20842,Laja - Talcahuano,0,Estudiante
2026-05-07,Los Acacios,LA LEONERA,20844,Laja - Talcahuano,0,Normal
2026-05-06,CONCEPCIÓN,BUENURAQUI,20841,Talcahuano - Laja,0,Adulto Mayor
2026-05-06,CONCEPCIÓN,Los Acacios,20865,Talcahuano - Laja,0,Normal
2026-05-06,CONCEPCIÓN,UNIHUE,20855,Talcahuano - Laja,0,Normal
2026-05-06,CONCEPCIÓN,Valle Chanco,20855,Talcahuano - Laja,0,Normal
