fecha_viaje,estacion_origen,estacion_destino,sentido_viaje,servicio_asignado,tarifa_pagada,tipo_pasajero
2026-04-30,QUILLÉN,VICTORIA,FQ-VI,22912,650.0,Adulto Mayor
2026-04-30,QUILLÉN,VICTORIA,FQ-VI,22912,1300.0,Normal
2026-04-30,PÚA,VICTORIA,FQ-VI,22912,1100.0,Normal
2026-04-30,LAUTARO,QUILLÉN,FQ-VI,22912,0.0,Estudiante
2026-04-30,LAUTARO,PERQUENCO,FQ-VI,22912,1100.0,Normal
2026-04-30,LAUTARO,PERQUENCO,FQ-VI,22912,1100.0,Normal
2026-04-30,LAUTARO,QUILLÉN,FQ-VI,22912,0.0,Estudiante
2026-04-30,LAUTARO,QUILLÉN,FQ-VI,22912,1100.0,Normal
2026-04-30,LAUTARO,QUILLÉN,FQ-VI,22912,1100.0,Normal
2026-04-30,LAUTARO,PERQUENCO,FQ-VI,22912,350.0,Estudiante
2026-04-30,LAUTARO,VICTORIA,FQ-VI,22912,450.0,Estudiante
2026-04-30,LAUTARO,VICTORIA,FQ-VI,22912,450.0,Estudiante
2026-04-30,LAUTARO,PERQUENCO,FQ-VI,22912,350.0,Estudiante
2026-04-30,LAUTARO,PERQUENCO,FQ-VI,22912,1100.0,Normal
2026-04-30,LAUTARO,VICTORIA,FQ-VI,22912,1400.0,Normal
2026-04-30,LAUTARO,VICTORIA,FQ-VI,22912,1400.0,Normal
2026-04-30,LAUTARO,VICTORIA,FQ-VI,22912,1400.0,Normal
2026-04-30,LAUTARO,PERQUENCO,FQ-VI,22912,1100.0,Normal
2026-04-30,LAUTARO,PERQUENCO,FQ-VI,22912,1100.0,Normal
2026-04-30,LAUTARO,PÚA,FQ-VI,22912,1300.0,Normal
2026-04-30,LAUTARO,VICTORIA,FQ-VI,22912,450.0,Estudiante
2026-04-30,LAUTARO,VICTORIA,FQ-VI,22912,1400.0,Normal
2026-04-30,LAUTARO,PERQUENCO,FQ-VI,22912,350.0,Estudiante
2026-04-30,LAUTARO,PERQUENCO,FQ-VI,22912,1100.0,Normal
2026-04-30,LAUTARO,PERQUENCO,FQ-VI,22912,1100.0,Normal
2026-04-30,PILLANLELBÚN,LAUTARO,FQ-VI,22912,1100.0,Normal
2026-04-30,PILLANLELBÚN,LAUTARO,FQ-VI,22912,0.0,Estudiante
2026-04-30,PILLANLELBÚN,LAUTARO,FQ-VI,22912,1100.0,Normal
2026-04-30,PILLANLELBÚN,VICTORIA,FQ-VI,22912,1500.0,Normal
2026-04-30,PILLANLELBÚN,VICTORIA,FQ-VI,22912,0.0,Estudiante
2026-04-30,PILLANLELBÚN,VICTORIA,FQ-VI,22912,500.0,Estudiante
2026-04-30,PILLANLELBÚN,LAUTARO,FQ-VI,22912,350.0,Estudiante
2026-04-30,PILLANLELBÚN,PERQUENCO,FQ-VI,22912,0.0,Estudiante
2026-04-30,PILLANLELBÚN,PERQUENCO,FQ-VI,22912,0.0,Estudiante
2026-04-30,PILLANLELBÚN,LAUTARO,FQ-VI,22912,1100.0,Normal
2026-04-30,PILLANLELBÚN,PERQUENCO,FQ-VI,22912,450.0,Estudiante
2026-04-30,CAJÓN,VICTORIA,FQ-VI,22912,300.0,Estudiante
2026-04-30,CAJÓN,VICTORIA,FQ-VI,22912,900.0,Normal
2026-04-30,CAJÓN,VICTORIA,FQ-VI,22912,0.0,Otros
2026-04-30,CAJÓN,VICTORIA,FQ-VI,22912,0.0,Otros
2026-04-30,CAJÓN,VICTORIA,FQ-VI,22912,900.0,Normal
2026-04-30,PERQUENCO,LAUTARO CENTRO,VI-FQ,22911,1100.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,0.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,1800.0,Normal
2026-04-30,TEMUCO,PILLANLELBÚN,FQ-VI,22912,0.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,PÚA,FQ-VI,22912,1500.0,Normal
2026-04-30,TEMUCO,PILLANLELBÚN,FQ-VI,22912,1200.0,Normal
2026-04-30,TEMUCO,PILLANLELBÚN,FQ-VI,22912,1200.0,Normal
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,700.0,Adulto Mayor
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,700.0,Adulto Mayor
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,1400.0,Normal
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,0.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,1400.0,Normal
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,700.0,Adulto Mayor
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,0.0,Discapacitado
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,1400.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,PÚA,FQ-VI,22912,500.0,Estudiante
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,1400.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,1400.0,Normal
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,1800.0,Normal
2026-04-30,TEMUCO,PILLANLELBÚN,FQ-VI,22912,1200.0,Normal
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,0.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,1800.0,Normal
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,1400.0,Normal
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,1400.0,Normal
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,1400.0,Normal
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,1400.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,900.0,Adulto Mayor
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,1800.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,1800.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,1800.0,Normal
2026-04-30,TEMUCO,PÚA,FQ-VI,22912,1500.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,1800.0,Normal
2026-04-30,TEMUCO,PILLANLELBÚN,FQ-VI,22912,400.0,Estudiante
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,1400.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,0.0,Discapacitado
2026-04-30,TEMUCO,LAUTARO CENTRO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,PILLANLELBÚN,FQ-VI,22912,1200.0,Normal
2026-04-30,TEMUCO,PILLANLELBÚN,FQ-VI,22912,400.0,Estudiante
2026-04-30,TEMUCO,PILLANLELBÚN,FQ-VI,22912,0.0,Estudiante
2026-04-30,PERQUENCO,VICTORIA,FQ-VI,22910,1300.0,Normal
2026-04-30,PERQUENCO,VICTORIA,FQ-VI,22910,450.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,LAUTARO CENTRO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,LAUTARO CENTRO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,PILLANLELBÚN,TEMUCO,VI-FQ,22911,400.0,Estudiante
2026-04-30,PILLANLELBÚN,TEMUCO,VI-FQ,22911,400.0,Estudiante
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,1400.0,Normal
2026-04-30,PILLANLELBÚN,CAJÓN,VI-FQ,22911,200.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,0.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,650.0,Adulto Mayor
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,1800.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,PILLANLELBÚN,TEMUCO,VI-FQ,22911,1200.0,Normal
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,1400.0,Normal
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,1300.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,1800.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,1800.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,900.0,Adulto Mayor
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,1800.0,Normal
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,0.0,Discapacitado
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,600.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,LAUTARO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,PERQUENCO,FQ-VI,22912,450.0,Estudiante
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,1800.0,Normal
2026-04-30,TEMUCO,VICTORIA,FQ-VI,22912,1800.0,Normal
2026-04-30,LAUTARO,PILLANLELBÚN,VI-FQ,22911,1100.0,Normal
2026-04-30,LAUTARO,PILLANLELBÚN,VI-FQ,22911,1100.0,Normal
2026-04-30,LAUTARO,TEMUCO,VI-FQ,22911,650.0,Adulto Mayor
2026-04-30,LAUTARO,TEMUCO,VI-FQ,22911,1300.0,Normal
2026-04-30,LAUTARO,TEMUCO,VI-FQ,22911,0.0,Estudiante
2026-04-30,LAUTARO,TEMUCO,VI-FQ,22911,1300.0,Normal
2026-04-30,LAUTARO,TEMUCO,VI-FQ,22911,1300.0,Normal
2026-04-30,LAUTARO,TEMUCO,VI-FQ,22911,1300.0,Normal
2026-04-30,LAUTARO,TEMUCO,VI-FQ,22911,650.0,Adulto Mayor
2026-04-30,LAUTARO,VICTORIA,FQ-VI,22910,450.0,Estudiante
2026-04-30,LAUTARO,QUILLÉN,FQ-VI,22910,550.0,Adulto Mayor
2026-04-30,LAUTARO,TEMUCO,VI-FQ,22911,0.0,Estudiante
2026-04-30,LAUTARO,TEMUCO,VI-FQ,22911,1300.0,Normal
2026-04-30,LAUTARO,TEMUCO,VI-FQ,22911,1300.0,Normal
2026-04-30,LAUTARO,VICTORIA,FQ-VI,22910,700.0,Adulto Mayor
2026-04-30,LAUTARO,PERQUENCO,FQ-VI,22910,550.0,Adulto Mayor
2026-04-30,LAUTARO,TEMUCO,VI-FQ,22911,1300.0,Normal
2026-04-30,LAUTARO,VICTORIA,FQ-VI,22910,0.0,Discapacitado
2026-04-30,LAUTARO,VICTORIA,FQ-VI,22910,1400.0,Normal
2026-04-30,LAUTARO,TEMUCO,VI-FQ,22911,1300.0,Normal
2026-04-30,LAUTARO,VICTORIA,FQ-VI,22910,1400.0,Normal
2026-04-30,QUILLÉN,LAUTARO,VI-FQ,22911,1100.0,Normal
