fecha_viaje,estacion_origen,estacion_destino,sentido_viaje,servicio_asignado,tarifa_pagada,tipo_pasajero
2026-02-28,Perquenco,Victoria,Pitrufquén - Victoria,22912,450,Estudiante
2026-02-28,Perquenco,Victoria,Pitrufquén - Victoria,22912,0,Estudiante
2026-02-28,Perquenco,Victoria,Pitrufquén - Victoria,22912,0,Estudiante
2026-02-28,Perquenco,Victoria,Pitrufquén - Victoria,22912,1300,Normal
2026-02-28,Lautaro,Victoria,Pitrufquén - Victoria,22912,0,Estudiante
2026-02-28,Lautaro,Victoria,Pitrufquén - Victoria,22912,1400,Normal
2026-02-28,Lautaro,Victoria,Pitrufquén - Victoria,22912,1400,Normal
2026-02-28,Lautaro,Victoria,Pitrufquén - Victoria,22912,450,Estudiante
2026-02-28,Lautaro Centro,Perquenco,Pitrufquén - Victoria,22912,350,Estudiante
2026-02-28,Lautaro,Perquenco,Pitrufquén - Victoria,22912,1100,Normal
2026-02-28,Lautaro,Victoria,Pitrufquén - Victoria,22912,1400,Normal
2026-02-28,Lautaro,Perquenco,Pitrufquén - Victoria,22912,1100,Normal
2026-02-28,Lautaro,Perquenco,Pitrufquén - Victoria,22912,1100,Normal
2026-02-28,Pillanlelbún,Lautaro Centro,Pitrufquén - Victoria,22912,350,Estudiante
2026-02-28,Pillanlelbún,Lautaro Centro,Pitrufquén - Victoria,22912,0,Estudiante
2026-02-28,Pillanlelbún,Lautaro Centro,Pitrufquén - Victoria,22912,1100,Normal
2026-02-28,Pillanlelbún,Victoria,Pitrufquén - Victoria,22912,1500,Normal
2026-02-28,Pillanlelbún,Lautaro Centro,Pitrufquén - Victoria,22912,350,Estudiante
2026-02-28,Pillanlelbún,Perquenco,Pitrufquén - Victoria,22912,1300,Normal
2026-02-28,Pillanlelbún,Perquenco,Pitrufquén - Victoria,22912,1300,Normal
2026-02-28,Cajón,Perquenco,Pitrufquén - Victoria,22912,800,Normal
2026-02-28,Cajón,Lautaro Centro,Pitrufquén - Victoria,22912,600,Normal
2026-02-28,Cajón,Lautaro Centro,Pitrufquén - Victoria,22912,200,Estudiante
2026-02-28,Cajón,Lautaro Centro,Pitrufquén - Victoria,22912,0,Estudiante
