fecha_viaje,estacion_origen,estacion_destino,sentido_viaje,servicio_asignado,tarifa_pagada,tipo_pasajero
2026-05-31,Púa,Victoria,Pitrufquén - Victoria,22912,1100,Normal
2026-05-31,Púa,Victoria,Pitrufquén - Victoria,22912,350,Estudiante
2026-05-31,Púa,Victoria,Pitrufquén - Victoria,22912,1100,Normal
2026-05-31,Perquenco,Victoria,Pitrufquén - Victoria,22912,450,Estudiante
2026-05-31,Quíllem,Victoria,Pitrufquén - Victoria,22912,1300,Normal
2026-05-31,Quíllem,Victoria,Pitrufquén - Victoria,22912,0,Discapacitado
2026-05-31,Quíllem,Victoria,Pitrufquén - Victoria,22912,1300,Normal
2026-05-31,Lautaro,Perquenco,Pitrufquén - Victoria,22912,550,Adulto Mayor
2026-05-31,Lautaro,Perquenco,Pitrufquén - Victoria,22912,1100,Normal
2026-05-31,Lautaro,Perquenco,Pitrufquén - Victoria,22912,1100,Normal
2026-05-31,Lautaro,Perquenco,Pitrufquén - Victoria,22912,1100,Normal
2026-05-31,Lautaro,Púa,Pitrufquén - Victoria,22912,1300,Normal
2026-05-31,Lautaro,Victoria,Pitrufquén - Victoria,22912,1400,Normal
2026-05-31,Lautaro,Perquenco,Pitrufquén - Victoria,22912,350,Estudiante
2026-05-31,Lautaro Centro,Victoria,Pitrufquén - Victoria,22912,450,Estudiante
2026-05-31,Lautaro Centro,Perquenco,Pitrufquén - Victoria,22912,1100,Normal
2026-05-31,Lautaro,Quíllem,Pitrufquén - Victoria,22912,350,Estudiante
2026-05-31,Lautaro Centro,Victoria,Pitrufquén - Victoria,22912,1400,Normal
2026-05-31,Lautaro Centro,Perquenco,Pitrufquén - Victoria,22912,350,Estudiante
2026-05-31,Lautaro Centro,Victoria,Pitrufquén - Victoria,22912,1400,Normal
2026-05-31,Lautaro Centro,Victoria,Pitrufquén - Victoria,22912,1400,Normal
2026-05-31,Cajón,Victoria,Pitrufquén - Victoria,22912,900,Normal
2026-05-31,Pillanlelbún,Lautaro Centro,Pitrufquén - Victoria,22912,1100,Normal
2026-05-31,Pillanlelbún,Lautaro Centro,Pitrufquén - Victoria,22912,1100,Normal
2026-05-31,Pillanlelbún,Victoria,Pitrufquén - Victoria,22912,1500,Normal
2026-05-31,Pillanlelbún,Victoria,Pitrufquén - Victoria,22912,1500,Normal
2026-05-31,Cajón,Lautaro Centro,Pitrufquén - Victoria,22912,200,Estudiante
2026-05-31,Pillanlelbún,Quíllem,Pitrufquén - Victoria,22912,1300,Normal
2026-05-31,Pillanlelbún,Lautaro Centro,Pitrufquén - Victoria,22912,1100,Normal
2026-05-31,Cajón,Lautaro Centro,Pitrufquén - Victoria,22912,200,Estudiante
2026-05-31,Cajón,Victoria,Pitrufquén - Victoria,22912,900,Normal
2026-05-31,Cajón,Lautaro,Pitrufquén - Victoria,22912,200,Estudiante
2026-05-31,Cajón,Lautaro Centro,Pitrufquén - Victoria,22912,200,Estudiante
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,1200,Normal
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,600,Estudiante
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,1200,Normal
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,400,Estudiante
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,0,Otros
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,400,Estudiante
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,1200,Normal
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,0,Discapacitado
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,1800,Normal
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,1800,Normal
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,1300,Normal
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,400,Estudiante
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,450,Estudiante
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,450,Estudiante
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,450,Estudiante
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,1200,Normal
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,1200,Normal
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,450,Estudiante
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,1300,Normal
2026-05-31,Temuco,Perquenco,Pitrufquén - Victoria,22912,450,Estudiante
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,1800,Normal
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,0,Estudiante
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,0,Estudiante
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,1200,Normal
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,600,Estudiante
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,1200,Normal
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,1800,Normal
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,450,Estudiante
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,1800,Normal
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,1200,Normal
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,1300,Normal
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,600,Estudiante
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,1300,Normal
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,1800,Normal
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,1200,Normal
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,0,Estudiante
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,0,Estudiante
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,1800,Normal
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,0,Estudiante
2026-05-31,Temuco,Perquenco,Pitrufquén - Victoria,22912,1400,Normal
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,0,Estudiante
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,400,Estudiante
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,1800,Normal
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,0,Estudiante
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,400,Estudiante
2026-05-31,Temuco,Cajón,Pitrufquén - Victoria,22912,600,Normal
2026-05-31,Temuco,Cajón,Pitrufquén - Victoria,22912,600,Normal
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,450,Estudiante
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,450,Estudiante
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,1300,Normal
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,1300,Normal
2026-05-31,Temuco,Perquenco,Pitrufquén - Victoria,22912,700,Adulto Mayor
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,1800,Normal
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,650,Adulto Mayor
2026-05-31,Temuco,Perquenco,Pitrufquén - Victoria,22912,1400,Normal
2026-05-31,Temuco,Perquenco,Pitrufquén - Victoria,22912,1400,Normal
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,1200,Normal
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,1800,Normal
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,1800,Normal
2026-05-31,Temuco,Perquenco,Pitrufquén - Victoria,22912,1400,Normal
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,0,Estudiante
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,600,Estudiante
2026-05-31,Temuco,Perquenco,Pitrufquén - Victoria,22912,0,Discapacitado
2026-05-31,Temuco,Perquenco,Pitrufquén - Victoria,22912,700,Adulto Mayor
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,0,Discapacitado
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,1800,Normal
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,600,Estudiante
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,1300,Normal
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,1300,Normal
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,1300,Normal
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,450,Estudiante
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,1300,Normal
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,1200,Normal
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,1200,Normal
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,1200,Normal
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,450,Estudiante
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,1300,Normal
2026-05-31,Temuco,Lautaro Centro,Pitrufquén - Victoria,22912,450,Estudiante
2026-05-31,Temuco,Pillanlelbún,Pitrufquén - Victoria,22912,400,Estudiante
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,1800,Normal
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,900,Adulto Mayor
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,1800,Normal
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,1800,Normal
2026-05-31,Temuco,Victoria,Pitrufquén - Victoria,22912,1800,Normal
2026-05-31,Pillanlelbún,Temuco,Victoria - Pitrufquén,22911,1200,Normal
2026-05-31,Pillanlelbún,Temuco,Victoria - Pitrufquén,22911,1200,Normal
2026-05-31,Pillanlelbún,Temuco,Victoria - Pitrufquén,22911,1200,Normal
2026-05-31,Pillanlelbún,Cajón,Victoria - Pitrufquén,22911,600,Normal
2026-05-31,Pillanlelbún,Cajón,Victoria - Pitrufquén,22911,600,Normal
2026-05-31,Pillanlelbún,Temuco,Victoria - Pitrufquén,22911,400,Estudiante
2026-05-31,Lautaro Centro,Pillanlelbún,Victoria - Pitrufquén,22911,1100,Normal
2026-05-31,Lautaro Centro,Pillanlelbún,Victoria - Pitrufquén,22911,0,Estudiante
2026-05-31,Lautaro Centro,Pillanlelbún,Victoria - Pitrufquén,22911,1100,Normal
2026-05-31,Lautaro Centro,Cajón,Victoria - Pitrufquén,22911,0,Estudiante
2026-05-31,Lautaro Centro,Cajón,Victoria - Pitrufquén,22911,600,Normal
2026-05-31,Lautaro Centro,Cajón,Victoria - Pitrufquén,22911,600,Normal
2026-05-31,Lautaro Centro,Temuco,Victoria - Pitrufquén,22911,450,Estudiante
2026-05-31,Lautaro Centro,Temuco,Victoria - Pitrufquén,22911,450,Estudiante
2026-05-31,Lautaro Centro,Pillanlelbún,Victoria - Pitrufquén,22911,0,Estudiante
2026-05-31,Lautaro Centro,Pillanlelbún,Victoria - Pitrufquén,22911,1100,Normal
2026-05-31,Lautaro Centro,Temuco,Victoria - Pitrufquén,22911,0,Estudiante
2026-05-31,Lautaro Centro,Temuco,Victoria - Pitrufquén,22911,1300,Normal
2026-05-31,Lautaro Centro,Pillanlelbún,Victoria - Pitrufquén,22911,0,Estudiante
2026-05-31,Lautaro Centro,Pillanlelbún,Victoria - Pitrufquén,22911,1100,Normal
2026-05-31,Lautaro Centro,Cajón,Victoria - Pitrufquén,22911,600,Normal
2026-05-31,Lautaro Centro,Temuco,Victoria - Pitrufquén,22911,1300,Normal
2026-05-31,Lautaro Centro,Temuco,Victoria - Pitrufquén,22911,1300,Normal
2026-05-31,Lautaro Centro,Temuco,Victoria - Pitrufquén,22911,450,Estudiante
2026-05-31,Lautaro Centro,Temuco,Victoria - Pitrufquén,22911,1300,Normal
2026-05-31,Lautaro Centro,Temuco,Victoria - Pitrufquén,22911,1300,Normal
2026-05-31,Lautaro Centro,Pillanlelbún,Victoria - Pitrufquén,22911,0,Estudiante
2026-05-31,Lautaro Centro,Temuco,Victoria - Pitrufquén,22911,450,Estudiante
2026-05-31,Lautaro Centro,Pillanlelbún,Victoria - Pitrufquén,22911,0,Estudiante
2026-05-31,Lautaro Centro,Pillanlelbún,Victoria - Pitrufquén,22911,1100,Normal
2026-05-31,Lautaro Centro,Temuco,Victoria - Pitrufquén,22911,1300,Normal
2026-05-31,Lautaro Centro,Temuco,Victoria - Pitrufquén,22911,450,Estudiante
2026-05-31,Lautaro Centro,Pillanlelbún,Victoria - Pitrufquén,22911,1100,Normal
2026-05-31,Lautaro,Temuco,Victoria - Pitrufquén,22911,1300,Normal
2026-05-31,Lautaro Centro,Temuco,Victoria - Pitrufquén,22911,450,Estudiante
2026-05-31,Lautaro,Temuco,Victoria - Pitrufquén,22911,1300,Normal
2026-05-31,Lautaro Centro,Pillanlelbún,Victoria - Pitrufquén,22911,350,Estudiante
2026-05-31,Perquenco,Temuco,Victoria - Pitrufquén,22911,0,Estudiante
2026-05-31,Lautaro,Temuco,Victoria - Pitrufquén,22911,1300,Normal
2026-05-31,Lautaro,Temuco,Victoria - Pitrufquén,22911,450,Estudiante
2026-05-31,Quíllem,Lautaro,Victoria - Pitrufquén,22911,350,Estudiante
2026-05-31,Quíllem,Temuco,Victoria - Pitrufquén,22911,1400,Normal
2026-05-31,Quíllem,Lautaro Centro,Victoria - Pitrufquén,22911,1100,Normal
2026-05-31,Perquenco,Temuco,Victoria - Pitrufquén,22911,1400,Normal
