FECHA_TRANSACCION,NUMERO_TARJETA,MONTO_TRANSACCION,tipo_pasajero_norm
2026-03-15T08:28:01,1309866,420,Monedero
2026-03-15T08:39:30,53052240,0,Discapacitado
2026-03-15T08:40:23,54269816,450,Monedero
2026-03-15T08:40:29,54603330,450,Monedero
2026-03-15T08:42:11,292047965,0,Estudiante
2026-03-15T08:44:37,53041709,290,Adulto Mayor
2026-03-15T08:45:07,54546620,570,Monedero
2026-03-15T08:47:05,2106003912,0,Discapacitado
2026-03-15T08:47:12,312742974,190,Estudiante
2026-03-15T08:47:16,2000188888,570,Monedero
2026-03-15T08:47:28,312485102,140,Estudiante
2026-03-15T08:49:22,282184476,170,Estudiante
2026-03-15T08:49:40,2000163371,570,Monedero
2026-03-15T08:49:47,312131642,190,Estudiante
2026-03-15T08:49:50,56080305,290,Adulto Mayor
2026-03-15T08:50:02,252198663,190,Estudiante
2026-03-15T08:50:46,2000020522,650,Monedero
2026-03-15T08:51:06,54607653,570,Monedero
2026-03-15T08:53:17,54451021,650,Monedero
2026-03-15T08:53:48,2000093853,540,Monedero
2026-03-15T08:53:51,2000218882,540,Monedero
2026-03-15T08:53:53,1493958,570,Monedero
2026-03-15T08:53:56,54605296,570,Monedero
2026-03-15T08:53:58,2000126659,630,Monedero
2026-03-15T08:54:04,2000188682,500,Monedero
2026-03-15T08:54:08,282172934,170,Estudiante
2026-03-15T08:54:22,2106001195,0,Otros
2026-03-15T08:54:37,252461021,170,Estudiante
2026-03-15T08:56:06,312131933,210,Estudiante
2026-03-15T08:56:10,312743976,140,Estudiante
2026-03-15T08:56:18,252170763,220,Estudiante
2026-03-15T08:56:19,56049860,610,Monedero
2026-03-15T08:56:19,1206411,630,Monedero
2026-03-15T08:56:24,312575182,220,Estudiante
2026-03-15T08:56:34,252169374,200,Estudiante
2026-03-15T08:56:47,1455282,630,Monedero
2026-03-15T08:56:48,2040136516,880,Monedero
2026-03-15T08:57:06,2000213003,630,Monedero
2026-03-15T08:57:23,2000182680,500,Monedero
2026-03-15T08:58:10,54536665,0,Otros
2026-03-15T08:58:11,791832,650,Monedero
2026-03-15T08:58:15,2000244039,650,Monedero
2026-03-15T08:58:37,370114,430,Monedero
2026-03-15T08:58:44,2000205603,430,Monedero
2026-03-15T08:59:00,252323871,200,Estudiante
2026-03-15T08:59:02,53045542,0,Otros
2026-03-15T08:59:36,53040747,650,Monedero
2026-03-15T08:59:38,312757392,280,Estudiante
2026-03-15T09:00:32,53050892,0,Discapacitado
2026-03-15T09:00:34,312424499,220,Estudiante
2026-03-15T09:00:37,312611699,220,Estudiante
2026-03-15T09:00:39,242632240,220,Estudiante
2026-03-15T09:01:04,1400722,650,Monedero
2026-03-15T09:02:44,1433187,850,Monedero
2026-03-15T09:02:46,900000000155,0,Otros
2026-03-15T09:02:49,252265912,280,Estudiante
2026-03-15T09:02:58,53046669,610,Monedero
2026-03-15T09:02:59,232229985,0,Estudiante
2026-03-15T09:03:03,2000018326,510,Monedero
2026-03-15T09:03:16,2000100149,790,Monedero
2026-03-15T09:03:34,2000207438,850,Monedero
2026-03-15T09:03:43,54306407,850,Monedero
2026-03-15T09:03:47,2000141888,850,Monedero
2026-03-15T09:03:51,56074825,430,Adulto Mayor
2026-03-15T09:03:54,1459322,850,Monedero
2026-03-15T09:04:11,2000201427,570,Monedero
2026-03-15T09:04:27,2000245748,850,Monedero
2026-03-15T09:04:55,312648170,220,Estudiante
2026-03-15T09:04:59,2000166919,850,Monedero
2026-03-15T09:05:12,2000221790,850,Monedero
2026-03-15T09:05:28,252350033,280,Estudiante
2026-03-15T09:05:35,1486311,850,Monedero
2026-03-15T09:05:43,292153947,0,Estudiante
2026-03-15T09:05:46,242631229,210,Estudiante
2026-03-15T09:05:49,982550,650,Monedero
2026-03-15T09:06:04,312433411,170,Estudiante
2026-03-15T09:06:08,2000166988,650,Monedero
2026-03-15T09:06:15,610525,680,Monedero
2026-03-15T09:06:21,1077154,510,Monedero
2026-03-15T09:06:29,2000121429,790,Monedero
2026-03-15T09:06:31,312195180,220,Estudiante
2026-03-15T09:06:39,1318957,790,Monedero
2026-03-15T09:07:03,312300782,280,Estudiante
2026-03-15T09:07:45,53034660,320,Adulto Mayor
2026-03-15T09:07:49,252445018,210,Estudiante
2026-03-15T09:08:08,1033437,680,Monedero
2026-03-15T09:08:14,312507884,230,Estudiante
2026-03-15T09:08:16,312678518,230,Estudiante
2026-03-15T09:08:20,2000004241,850,Monedero
2026-03-15T09:08:21,312212545,280,Estudiante
2026-03-15T09:08:54,58011359,320,Adulto Mayor
2026-03-15T09:10:19,973397,650,Monedero
2026-03-15T09:10:22,54537770,630,Monedero
2026-03-15T09:10:28,1516982,880,Monedero
2026-03-15T09:10:30,2000220221,880,Monedero
2026-03-15T09:10:36,53035986,530,Monedero
2026-03-15T09:10:42,312742925,290,Estudiante
2026-03-15T09:10:43,54577663,790,Monedero
2026-03-15T09:10:47,2000102389,530,Monedero
2026-03-15T09:10:48,2000127896,530,Monedero
2026-03-15T09:10:52,2000213358,880,Monedero
2026-03-15T09:11:00,2000138542,790,Monedero
2026-03-15T09:11:21,2000222601,880,Monedero
2026-03-15T09:11:51,2000061039,440,Monedero
2026-03-15T09:12:23,53047517,430,Adulto Mayor
2026-03-15T09:12:24,54439789,880,Monedero
2026-03-15T09:12:26,2000046180,850,Monedero
2026-03-15T09:12:27,1169144,880,Monedero
2026-03-15T09:12:28,2000201238,570,Monedero
2026-03-15T09:12:29,2000018900,570,Monedero
2026-03-15T09:12:30,252151193,290,Estudiante
2026-03-15T09:12:32,1262085,570,Monedero
2026-03-15T09:12:34,1204758,880,Monedero
2026-03-15T09:12:37,54437914,880,Monedero
2026-03-15T09:12:40,302163300,280,Estudiante
2026-03-15T09:12:41,56031314,570,Monedero
2026-03-15T09:12:41,2000246608,850,Monedero
2026-03-15T09:12:41,312688629,280,Estudiante
2026-03-15T09:12:42,2103010049,430,Adulto Mayor
2026-03-15T09:12:43,54493395,850,Monedero
2026-03-15T09:12:44,2000210095,880,Monedero
2026-03-15T09:12:50,2000067727,570,Monedero
2026-03-15T09:12:51,1006854,880,Monedero
2026-03-15T09:12:51,2000035255,880,Monedero
2026-03-15T09:12:52,312685168,290,Estudiante
2026-03-15T09:12:54,2106006615,0,Discapacitado
2026-03-15T09:12:57,2000143137,880,Monedero
2026-03-15T09:12:58,54550095,880,Monedero
2026-03-15T09:12:58,56080484,290,Adulto Mayor
2026-03-15T09:13:01,1474359,850,Monedero
2026-03-15T09:13:03,2000127597,570,Monedero
2026-03-15T09:13:04,2000058036,570,Monedero
2026-03-15T09:13:06,252544735,190,Estudiante
2026-03-15T09:13:07,312586540,190,Estudiante
2026-03-15T09:13:08,2106007161,0,Discapacitado
2026-03-15T09:13:10,54267233,570,Monedero
2026-03-15T09:13:11,312155572,190,Estudiante
2026-03-15T09:13:20,53049800,0,Discapacitado
2026-03-15T09:13:20,783901,570,Monedero
2026-03-15T09:13:23,1053265,850,Monedero
2026-03-15T09:13:27,1374018,850,Monedero
2026-03-15T09:13:28,2000228898,850,Monedero
2026-03-15T09:13:28,2000248464,850,Monedero
2026-03-15T09:13:28,58014728,430,Adulto Mayor
2026-03-15T09:13:30,1180088,850,Monedero
2026-03-15T09:13:34,312684059,290,Estudiante
2026-03-15T09:13:38,2000105969,440,Monedero
2026-03-15T09:13:40,2106007459,0,Discapacitado
2026-03-15T09:13:44,54520540,570,Monedero
2026-03-15T09:13:47,464974,880,Monedero
2026-03-15T09:13:47,242376801,290,Estudiante
2026-03-15T09:13:48,53034686,440,Adulto Mayor
2026-03-15T09:13:51,2000217441,790,Monedero
2026-03-15T09:13:52,53052115,440,Adulto Mayor
2026-03-15T09:14:13,2000202040,880,Monedero
2026-03-15T09:14:31,2000218173,460,Monedero
2026-03-15T09:14:32,2100006360,0,Discapacitado
2026-03-15T09:15:16,1513673,850,Monedero
2026-03-15T09:15:32,2000062681,880,Monedero
2026-03-15T09:15:32,56064757,570,Monedero
2026-03-15T09:15:44,2000140319,570,Monedero
2026-03-15T09:16:21,434969,420,Monedero
2026-03-15T09:21:48,2000168902,850,Monedero
2026-03-15T09:22:14,252369867,170,Estudiante
2026-03-15T09:24:01,2040093879,450,Monedero
2026-03-15T09:25:01,2000172463,650,Monedero
2026-03-15T09:29:14,312477673,190,Estudiante
2026-03-15T09:30:01,54492388,510,Monedero
2026-03-15T09:30:04,1522623,570,Monedero
2026-03-15T09:31:05,54525135,570,Monedero
2026-03-15T09:32:01,312508143,190,Estudiante
2026-03-15T09:32:12,1373226,570,Monedero
2026-03-15T09:32:15,2000247611,590,Monedero
2026-03-15T09:32:22,2000127960,570,Monedero
2026-03-15T09:32:29,252123994,140,Estudiante
2026-03-15T09:32:34,54414262,430,Monedero
2026-03-15T09:32:57,54546670,430,Monedero
2026-03-15T09:33:03,777174,510,Monedero
2026-03-15T09:33:55,2000209876,590,Monedero
2026-03-15T09:33:59,312540369,170,Estudiante
2026-03-15T09:34:36,53049278,220,Adulto Mayor
2026-03-15T09:34:37,54335462,570,Monedero
2026-03-15T09:34:41,2000227933,570,Monedero
2026-03-15T09:34:47,54476835,430,Monedero
2026-03-15T09:34:50,54565838,570,Monedero
2026-03-15T09:34:51,56082192,260,Adulto Mayor
2026-03-15T09:34:53,56081933,290,Adulto Mayor
2026-03-15T09:34:55,54441107,510,Monedero
2026-03-15T09:35:13,1137456,580,Monedero
2026-03-15T09:35:14,312723668,190,Estudiante
2026-03-15T09:35:20,1522598,580,Monedero
2026-03-15T09:35:32,2000214714,430,Monedero
2026-03-15T09:37:44,2000229143,650,Monedero
2026-03-15T09:37:49,2000229143,650,Monedero
2026-03-15T09:38:50,1493950,570,Monedero
2026-03-15T09:39:21,1137456,580,Monedero
2026-03-15T09:41:48,2000203187,650,Monedero
2026-03-15T09:42:22,2000137243,630,Monedero
2026-03-15T09:42:24,252265734,140,Estudiante
2026-03-15T09:42:26,312692860,220,Estudiante
2026-03-15T09:42:28,2040088433,630,Monedero
2026-03-15T09:42:31,1366162,630,Monedero
2026-03-15T09:42:34,54248104,630,Monedero
2026-03-15T09:42:39,54429532,610,Monedero
2026-03-15T09:42:40,312466713,140,Estudiante
2026-03-15T09:42:42,312598882,200,Estudiante
2026-03-15T09:42:46,1259539,630,Monedero
2026-03-15T09:42:50,189240,650,Monedero
2026-03-15T09:42:53,54420948,610,Monedero
2026-03-15T09:42:57,2000095049,430,Monedero
2026-03-15T09:43:34,2000206508,610,Monedero
2026-03-15T09:43:45,2000029586,650,Monedero
2026-03-15T09:44:15,54487180,850,Monedero
2026-03-15T09:44:17,312551962,210,Estudiante
2026-03-15T09:44:19,252461754,210,Estudiante
2026-03-15T09:44:22,54547178,850,Monedero
2026-03-15T09:44:26,883477,630,Monedero
2026-03-15T09:44:53,2000042001,880,Monedero
2026-03-15T09:48:39,242719224,260,Estudiante
2026-03-15T09:49:23,54538353,680,Monedero
2026-03-15T09:49:35,252482638,230,Estudiante
2026-03-15T09:49:46,53049142,310,Adulto Mayor
2026-03-15T09:49:54,312420854,280,Estudiante
2026-03-15T09:50:01,1012471,650,Monedero
2026-03-15T09:50:09,2000192499,850,Monedero
2026-03-15T09:50:18,312593160,220,Estudiante
2026-03-15T09:51:15,242218353,260,Estudiante
2026-03-15T09:51:18,242717130,170,Estudiante
2026-03-15T09:51:23,2000173831,790,Monedero
2026-03-15T09:51:25,312743921,230,Estudiante
2026-03-15T09:51:32,54543157,850,Monedero
2026-03-15T09:51:33,2000195540,650,Monedero
2026-03-15T09:51:35,2000137138,510,Monedero
2026-03-15T09:51:42,312659486,220,Estudiante
2026-03-15T09:51:45,100000242,230,Adulto Mayor
2026-03-15T09:51:54,2000220365,850,Monedero
2026-03-15T09:51:56,2000138540,850,Monedero
2026-03-15T09:51:57,53049061,430,Adulto Mayor
2026-03-15T09:51:58,2000197105,790,Monedero
2026-03-15T09:52:05,2000006405,340,Adulto Mayor
2026-03-15T09:52:20,54524870,790,Monedero
2026-03-15T09:52:30,2000123073,680,Monedero
2026-03-15T09:53:41,54257259,680,Monedero
2026-03-15T09:53:44,1521890,680,Monedero
2026-03-15T09:53:49,2000111671,850,Monedero
2026-03-15T09:53:51,312599041,230,Estudiante
2026-03-15T09:54:08,1031200,850,Monedero
2026-03-15T09:55:12,53038571,630,Monedero
2026-03-15T09:55:52,1318579,880,Monedero
2026-03-15T09:55:58,292194114,0,Estudiante
2026-03-15T09:55:59,2000029592,880,Monedero
2026-03-15T09:56:04,2103003167,440,Adulto Mayor
2026-03-15T09:56:08,2000191198,650,Monedero
2026-03-15T09:56:11,1510757,650,Monedero
2026-03-15T09:56:41,2000213955,650,Monedero
2026-03-15T09:56:45,569863,650,Monedero
2026-03-15T09:57:51,1344680,880,Monedero
2026-03-15T09:57:53,2000199771,880,Monedero
2026-03-15T09:57:58,839933,850,Monedero
2026-03-15T09:58:00,54503211,0,Otros
2026-03-15T09:58:00,1522627,570,Monedero
2026-03-15T09:58:03,312744581,190,Estudiante
2026-03-15T09:58:05,312601374,280,Estudiante
2026-03-15T09:58:05,2000223917,570,Monedero
2026-03-15T09:58:05,2000097987,570,Monedero
2026-03-15T09:58:07,2000105573,850,Monedero
2026-03-15T09:58:10,1514063,850,Monedero
2026-03-15T09:58:11,1522188,570,Monedero
2026-03-15T09:58:13,56074731,440,Adulto Mayor
2026-03-15T09:58:14,1490818,420,Monedero
2026-03-15T09:58:23,2100007997,850,Monedero
2026-03-15T09:58:26,1507825,880,Monedero
2026-03-15T09:58:29,2000247433,570,Monedero
2026-03-15T09:58:32,2000184905,570,Monedero
2026-03-15T09:58:41,2102002782,850,Monedero
2026-03-15T09:58:42,2040092909,880,Monedero
2026-03-15T09:58:45,561448,570,Monedero
2026-03-15T09:58:51,56075376,290,Adulto Mayor
2026-03-15T09:58:56,312506170,190,Estudiante
2026-03-15T09:59:01,252460978,280,Estudiante
2026-03-15T09:59:18,53036988,880,Monedero
2026-03-15T09:59:25,96582732,290,Estudiante
2026-03-15T10:00:13,1484279,570,Monedero
2026-03-15T10:01:11,54267144,570,Monedero
2026-03-15T10:02:26,56022994,880,Monedero
2026-03-15T10:02:56,312744796,280,Estudiante
2026-03-15T10:03:11,1070680,630,Monedero
2026-03-15T10:03:28,2000065710,650,Monedero
2026-03-15T10:03:32,1095878,630,Monedero
2026-03-15T10:03:52,2000022377,650,Monedero
2026-03-15T10:05:39,312618696,210,Estudiante
2026-03-15T10:06:18,312408765,220,Estudiante
2026-03-15T10:06:24,252375487,220,Estudiante
2026-03-15T10:06:30,2000221991,650,Monedero
2026-03-15T10:07:09,2000225699,850,Monedero
2026-03-15T10:08:12,2000138878,630,Monedero
2026-03-15T10:08:25,312617397,140,Estudiante
2026-03-15T10:08:33,2000141552,610,Monedero
2026-03-15T10:08:46,1265521,550,Monedero
2026-03-15T10:09:07,1522625,550,Monedero
2026-03-15T10:09:10,1039288,510,Monedero
2026-03-15T10:09:30,54545824,650,Monedero
2026-03-15T10:09:52,1432417,510,Monedero
2026-03-15T10:09:57,1432417,510,Monedero
2026-03-15T10:10:26,2000204998,550,Monedero
2026-03-15T10:10:38,54517297,790,Monedero
2026-03-15T10:10:40,252368753,150,Estudiante
2026-03-15T10:10:44,56069865,510,Monedero
2026-03-15T10:10:55,54523744,510,Monedero
2026-03-15T10:13:03,2000098358,790,Monedero
2026-03-15T10:13:43,312498039,170,Estudiante
2026-03-15T10:13:54,252265656,230,Estudiante
2026-03-15T10:14:03,1522691,420,Monedero
2026-03-15T10:14:04,2000194903,510,Monedero
2026-03-15T10:14:44,2103000206,260,Adulto Mayor
2026-03-15T10:14:55,252491336,150,Estudiante
2026-03-15T10:14:59,2000176146,530,Monedero
2026-03-15T10:15:46,54467526,510,Monedero
2026-03-15T10:15:51,312720586,170,Estudiante
2026-03-15T10:15:51,2000128175,510,Monedero
2026-03-15T10:16:04,1358906,680,Monedero
2026-03-15T10:16:08,312685298,220,Estudiante
2026-03-15T10:16:22,312515784,170,Estudiante
2026-03-15T10:16:32,2000198402,790,Monedero
2026-03-15T10:16:37,2000198402,790,Monedero
2026-03-15T10:17:08,2000157826,680,Monedero
2026-03-15T10:21:58,1249594,570,Monedero
2026-03-15T10:22:14,54594138,900,Monedero
2026-03-15T10:22:18,54550791,590,Monedero
2026-03-15T10:22:20,1522690,570,Monedero
2026-03-15T10:22:22,252199616,290,Estudiante
2026-03-15T10:22:24,1217237,850,Monedero
2026-03-15T10:22:25,1395812,850,Monedero
2026-03-15T10:22:29,2102004494,880,Monedero
2026-03-15T10:22:31,312693111,290,Estudiante
2026-03-15T10:22:32,252103931,190,Estudiante
2026-03-15T10:22:36,312579248,290,Estudiante
2026-03-15T10:22:37,2000243938,570,Monedero
2026-03-15T10:22:37,312747959,190,Estudiante
2026-03-15T10:22:40,1433397,880,Monedero
2026-03-15T10:22:41,282172831,280,Estudiante
2026-03-15T10:22:42,1349255,570,Monedero
2026-03-15T10:22:43,53049416,430,Adulto Mayor
2026-03-15T10:22:46,54581128,850,Monedero
2026-03-15T10:22:47,2000228196,570,Monedero
2026-03-15T10:22:49,56062871,570,Monedero
2026-03-15T10:22:54,2000247188,850,Monedero
2026-03-15T10:22:59,312485535,190,Estudiante
2026-03-15T10:22:59,252538031,190,Estudiante
2026-03-15T10:23:03,312638292,280,Estudiante
2026-03-15T10:23:06,2000081296,880,Monedero
2026-03-15T10:23:11,2000081296,880,Monedero
2026-03-15T10:23:11,2000228016,590,Monedero
2026-03-15T10:23:17,2000228016,590,Monedero
2026-03-15T10:23:18,202377495,0,Estudiante
2026-03-15T10:23:20,2000203177,880,Monedero
2026-03-15T10:23:28,2000203177,880,Monedero
2026-03-15T10:23:32,2000158522,880,Monedero
2026-03-15T10:23:35,232529433,0,Estudiante
2026-03-15T10:23:44,2000187485,880,Monedero
2026-03-15T10:23:45,2000215609,570,Monedero
2026-03-15T10:23:54,898327,850,Monedero
2026-03-15T10:23:54,1455204,570,Monedero
2026-03-15T10:23:57,1455204,570,Monedero
2026-03-15T10:24:26,312747949,190,Estudiante
2026-03-15T10:24:49,54535685,880,Monedero
2026-03-15T10:24:51,232248218,0,Estudiante
2026-03-15T10:25:38,2000127518,430,Monedero
2026-03-15T10:26:12,58012500,290,Adulto Mayor
2026-03-15T10:26:39,53034121,440,Adulto Mayor
2026-03-15T10:26:47,53035137,440,Adulto Mayor
2026-03-15T10:27:17,1522626,850,Monedero
2026-03-15T10:28:17,2000050287,570,Monedero
2026-03-15T10:28:48,1391133,610,Monedero
2026-03-15T10:29:36,312097281,180,Estudiante
2026-03-15T10:29:45,302322597,290,Estudiante
2026-03-15T10:30:41,312723764,220,Estudiante
2026-03-15T10:30:56,893187,570,Monedero
2026-03-15T10:31:18,252492465,210,Estudiante
2026-03-15T10:33:09,2000171682,650,Monedero
2026-03-15T10:33:12,2000215049,560,Monedero
2026-03-15T10:33:18,54602176,900,Monedero
2026-03-15T10:33:43,1427533,580,Monedero
2026-03-15T10:33:46,56071202,320,Adulto Mayor
2026-03-15T10:34:07,2103003209,440,Adulto Mayor
2026-03-15T10:34:08,312410133,220,Estudiante
2026-03-15T10:34:48,54518243,850,Monedero
2026-03-15T10:35:52,56082413,340,Adulto Mayor
2026-03-15T10:37:46,53036634,430,Adulto Mayor
2026-03-15T10:37:47,54406497,650,Monedero
2026-03-15T10:37:56,312748295,280,Estudiante
2026-03-15T10:37:58,2102002673,850,Monedero
2026-03-15T10:38:19,2100001010,610,Monedero
2026-03-15T10:38:29,54546988,850,Monedero
2026-03-15T10:38:39,2000050955,610,Monedero
2026-03-15T10:40:08,252482638,230,Estudiante
2026-03-15T10:40:33,2000136356,850,Monedero
2026-03-15T10:40:34,1468760,630,Monedero
2026-03-15T10:40:35,1472087,630,Monedero
2026-03-15T10:40:51,1113725,880,Monedero
2026-03-15T10:40:58,575987,510,Monedero
2026-03-15T10:40:59,2000085035,680,Monedero
2026-03-15T10:41:08,1458715,510,Monedero
2026-03-15T10:41:09,242411214,260,Estudiante
2026-03-15T10:41:14,252504035,260,Estudiante
2026-03-15T10:41:20,312568638,260,Estudiante
2026-03-15T10:41:26,1368025,440,Monedero
2026-03-15T10:41:46,2000000696,420,Monedero
2026-03-15T10:42:12,2000170240,630,Monedero
2026-03-15T10:43:36,2000026456,630,Monedero
2026-03-15T10:44:19,312486898,190,Estudiante
2026-03-15T10:44:39,312391407,190,Estudiante
2026-03-15T10:45:20,2000216926,880,Monedero
2026-03-15T10:45:28,312629314,150,Estudiante
2026-03-15T10:45:31,54565582,530,Monedero
2026-03-15T10:45:33,2000222469,880,Monedero
2026-03-15T10:45:55,53049063,330,Adulto Mayor
2026-03-15T10:46:05,1015786,880,Monedero
2026-03-15T10:46:11,1403562,650,Monedero
